date,precipitation_sum,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_mean
1991-01-01,0.0,6.63,13.93,2.75,46.43,2.16
1991-01-02,0.0,6.01,14.53,1.01,46.33,2.94
1991-01-03,0.0,7.45,15.71,1.64,43.52,2.19
1991-01-04,0.0,9.31,15.63,5.77,40.11,1.52
1991-01-05,0.0,9.89,17.56,5.46,38.13,1.83
1991-01-06,0.0,9.6,14.68,5.24,45.08,1.98
1991-01-07,0.0,10.12,16.84,4.97,59.58,1.94
1991-01-08,0.0,9.87,18.13,5.15,65.9,2.86
1991-01-09,0.0,10.08,18.02,4.82,50.85,2.18
1991-01-10,0.0,11.4,18.2,6.5,49.55,1.89
1991-01-11,0.0,10.34,15.75,5.84,68.31,2.5
1991-01-12,0.0,9.18,17.15,4.49,62.64,2.58
1991-01-13,0.0,9.08,16.88,3.91,48.75,2.44
1991-01-14,0.0,8.93,17.8,3.65,43.89,2.94
1991-01-15,0.0,8.53,14.88,4.27,41.02,2.01
1991-01-16,0.0,8.09,13.43,3.4,51.09,2.36
1991-01-17,0.0,8.85,17.62,3.09,51.61,2.55
1991-01-18,0.0,9.64,16.72,4.49,48.05,2.21
1991-01-19,0.0,9.85,19.39,4.25,44.41,3.18
1991-01-20,0.0,10.87,18.96,5.41,39.29,2.61
1991-01-21,0.0,11.34,19.65,5.9,40.92,2.82
1991-01-22,0.0,10.46,19.54,4.49,42.56,2.69
1991-01-23,0.0,11.91,19.12,7.3,40.47,1.91
1991-01-24,0.0,11.83,20.0,5.75,48.06,2.83
1991-01-25,0.0,9.76,12.33,8.29,74.59,2.61
1991-01-26,0.27,12.82,19.25,7.57,79.42,3.16
1991-01-27,1.66,16.28,22.81,9.43,57.61,2.22
1991-01-28,0.92,14.0,19.14,8.59,62.89,2.13
1991-01-29,0.0,12.95,23.16,6.19,51.06,3.3
1991-01-30,0.0,14.58,22.08,8.94,39.09,2.08
1991-01-31,0.0,13.22,21.55,8.09,47.56,2.56
1991-02-01,0.0,12.35,21.81,6.6,41.24,3.29
1991-02-02,0.0,11.26,17.76,6.72,43.06,2.87
1991-02-03,0.0,13.72,20.88,7.69,41.76,1.77
1991-02-04,0.0,10.88,16.36,6.83,51.73,2.56
1991-02-05,0.0,10.29,18.74,7.04,60.61,3.68
1991-02-06,0.29,12.38,18.03,6.81,56.85,2.17
1991-02-07,0.46,10.93,18.1,5.46,63.92,2.84
1991-02-08,0.25,13.13,20.93,8.42,56.03,2.75
1991-02-09,1.14,14.46,22.14,9.44,64.13,3.68
1991-02-10,0.09,14.4,20.32,10.72,64.94,5.91
1991-02-11,0.97,13.01,18.56,8.17,68.04,5.86
1991-02-12,0.04,11.8,20.08,6.27,50.12,2.72
1991-02-13,0.0,11.23,17.92,5.46,41.23,2.18
1991-02-14,0.0,11.17,17.44,6.77,42.54,4.57
1991-02-15,0.02,9.22,17.09,3.24,42.83,2.99
1991-02-16,5.51,9.93,18.55,2.9,38.49,2.09
1991-02-17,0.0,10.87,19.63,3.82,33.88,1.94
1991-02-18,0.0,10.14,19.4,3.45,36.16,2.57
1991-02-19,0.0,12.49,20.59,6.35,36.29,2.33
1991-02-20,0.0,16.59,24.03,10.18,24.44,1.82
1991-02-21,0.0,15.99,24.56,8.3,29.16,2.31
1991-02-22,0.0,15.69,24.23,8.2,31.73,2.15
1991-02-23,0.0,15.36,23.03,10.38,40.86,3.38
1991-02-24,0.34,13.02,17.14,9.97,65.83,3.22
1991-02-25,16.45,14.0,19.91,9.21,70.47,2.34
1991-02-26,0.06,14.84,22.08,8.66,52.1,1.68
1991-02-27,0.0,13.41,21.16,6.77,55.49,3.25
1991-02-28,0.0,12.82,21.37,6.33,48.22,2.76
1991-03-01,0.32,15.08,23.67,6.96,38.98,2.47
1991-03-02,0.0,13.22,19.62,9.37,51.96,2.65
1991-03-03,0.0,14.51,21.27,7.73,57.82,3.55
1991-03-04,10.2,13.28,17.95,9.83,74.98,3.73
1991-03-05,0.01,15.0,21.97,8.8,54.85,2.23
1991-03-06,0.0,13.46,23.07,5.92,38.25,3.88
1991-03-07,0.0,15.33,24.36,6.79,33.25,3.36
1991-03-08,0.0,14.8,20.75,10.18,47.81,4.86
1991-03-09,3.3,17.12,25.42,9.81,47.66,3.69
1991-03-10,0.35,18.43,26.98,12.2,43.59,2.36
1991-03-11,0.0,18.82,27.27,10.86,38.52,2.72
1991-03-12,0.07,19.66,27.36,12.1,40.09,3.06
1991-03-13,0.01,17.89,26.43,11.16,42.82,2.88
1991-03-14,0.0,17.12,26.61,9.51,38.16,2.75
1991-03-15,0.05,17.11,24.61,11.08,40.07,2.37
1991-03-16,0.0,19.31,27.08,12.21,32.43,2.44
1991-03-17,0.0,19.03,26.24,13.38,38.11,2.56
1991-03-18,1.75,14.76,22.18,11.41,56.55,3.54
1991-03-19,0.0,18.58,28.21,10.39,48.72,2.82
1991-03-20,5.61,20.35,28.42,13.13,41.6,1.99
1991-03-21,0.0,19.5,26.63,13.46,43.89,3.16
1991-03-22,0.0,18.56,26.59,13.98,44.74,3.16
