weather_cell_id,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,dew_point_2m_mean,wind_speed_10m_max,soil_moisture_0_to_7cm_mean,et0_fao_evapotranspiration_sum,date
OM_01,5.2,11.1,0.1,0.0,71,-0.1,7.7,0.43,1.63,1991-01-01
OM_01,4.4,11.2,-0.6,0.0,67,-1.6,10.2,0.425,1.69,1991-01-02
OM_01,6.0,13.1,-1.5,0.0,61,-1.5,6.3,0.421,1.7,1991-01-03
OM_01,7.4,13.7,2.1,0.0,59,-1.0,5.8,0.417,1.67,1991-01-04
OM_01,7.1,13.8,1.5,0.0,63,-0.2,6.2,0.414,1.66,1991-01-05
OM_01,8.3,12.5,2.9,0.5,62,1.2,7.6,0.412,1.42,1991-01-06
OM_01,8.6,13.3,4.9,0.3,74,4.2,8.1,0.419,1.19,1991-01-07
OM_01,8.3,14.5,3.5,0.0,73,3.5,9.2,0.414,1.77,1991-01-08
OM_01,8.0,15.2,2.5,0.0,68,1.9,7.9,0.409,1.86,1991-01-09
OM_01,8.9,15.2,2.3,0.0,64,1.7,5.6,0.404,1.83,1991-01-10
OM_01,7.7,11.7,4.4,1.7,76,3.6,7.1,0.423,1.3,1991-01-11
OM_01,7.1,12.5,2.6,0.2,76,2.9,7.8,0.426,1.61,1991-01-12
OM_01,6.5,13.2,1.0,0.0,67,0.2,9.3,0.418,1.86,1991-01-13
OM_01,5.9,13.6,-0.0,0.0,63,-1.2,7.6,0.41,1.95,1991-01-14
OM_01,7.1,13.4,-0.8,0.0,62,-0.5,6.6,0.405,1.69,1991-01-15
OM_01,7.2,13.1,1.5,0.1,64,0.4,11.2,0.401,1.76,1991-01-16
OM_01,6.9,14.2,0.6,0.0,65,0.2,10.7,0.396,2.03,1991-01-17
OM_01,7.5,14.6,2.1,0.0,63,0.1,8.4,0.39,1.99,1991-01-18
OM_01,7.2,14.8,1.2,0.0,63,-0.1,12.2,0.385,2.12,1991-01-19
OM_01,7.6,15.4,1.0,0.0,61,-0.2,8.7,0.38,2.13,1991-01-20
OM_01,7.5,15.3,1.6,0.0,61,-0.4,12.1,0.375,2.23,1991-01-21
OM_01,7.4,15.5,0.9,0.0,62,-0.1,9.6,0.37,2.1,1991-01-22
OM_01,7.9,15.6,1.1,0.0,60,-0.3,7.4,0.365,2.16,1991-01-23
OM_01,9.9,16.6,1.7,0.6,61,2.1,8.6,0.363,2.18,1991-01-24
OM_01,9.3,12.2,7.3,5.3,78,5.5,9.3,0.389,0.85,1991-01-25
OM_01,10.5,13.8,7.9,9.9,87,8.3,8.2,0.478,0.8,1991-01-26
OM_01,13.2,18.2,8.7,7.8,82,10.0,7.8,0.477,1.61,1991-01-27
OM_01,12.3,17.0,6.7,18.7,87,10.1,17.4,0.476,1.26,1991-01-28
OM_01,10.7,17.2,5.3,0.0,80,7.2,13.0,0.457,2.11,1991-01-29
OM_01,11.5,18.1,5.2,0.0,69,5.5,7.6,0.453,2.32,1991-01-30
OM_01,11.2,17.3,5.8,0.0,73,6.2,7.7,0.448,2.12,1991-01-31
OM_01,10.0,17.3,4.2,0.0,68,3.8,11.6,0.44,2.44,1991-02-01
OM_01,10.0,16.1,3.1,0.1,67,3.4,9.0,0.435,2.11,1991-02-02
OM_01,10.2,16.7,4.1,0.0,63,2.8,11.8,0.429,2.47,1991-02-03
OM_01,9.9,16.5,3.4,0.0,67,3.4,8.9,0.423,2.1,1991-02-04
OM_01,9.1,13.0,6.2,12.0,77,5.0,12.3,0.462,0.94,1991-02-05
OM_01,8.7,11.9,5.5,4.7,84,6.1,10.2,0.496,0.95,1991-02-06
