date,precipitation_sum_open,temperature_2m_mean_open,temperature_2m_max_open,temperature_2m_min_open,relative_humidity_2m_mean_open,precipitation_sum_nasa,temperature_2m_mean_nasa,temperature_2m_max_nasa,temperature_2m_min_nasa,relative_humidity_2m_mean_nasa,year,month,season
1991-01-01,0.0,4.75,11.0,-0.625,71.25,0.0,6.63,13.93,2.75,46.43,1991,1,DJF
1991-01-02,0.0,3.95,11.025,-1.375,67.75,0.0,6.01,14.53,1.01,46.33,1991,1,DJF
1991-01-03,0.0,5.5,12.625,-2.375,62.25,0.0,7.45,15.71,1.64,43.52,1991,1,DJF
1991-01-04,0.0,6.975,13.425,1.7,61.0,0.0,9.31,15.63,5.77,40.11,1991,1,DJF
1991-01-05,0.0,6.625,13.475,0.8,64.75,0.0,9.89,17.56,5.46,38.13,1991,1,DJF
1991-01-06,0.55,7.775,12.35,2.4,64.75,0.0,9.6,14.68,5.24,45.08,1991,1,DJF
1991-01-07,0.2,8.175,13.2,4.125,75.75,0.0,10.12,16.84,4.97,59.58,1991,1,DJF
1991-01-08,0.0,7.825,14.45,2.7,73.5,0.0,9.87,18.13,5.15,65.9,1991,1,DJF
1991-01-09,0.0,7.5,14.975,1.625,68.25,0.0,10.08,18.02,4.82,50.85,1991,1,DJF
1991-01-10,0.0,8.4,15.05,1.5999999999999999,65.0,0.0,11.4,18.2,6.5,49.55,1991,1,DJF
1991-01-11,2.05,7.25,11.5,3.6,77.75,0.0,10.34,15.75,5.84,68.31,1991,1,DJF
1991-01-12,0.15000000000000002,6.675,12.575,1.9,76.0,0.0,9.18,17.15,4.49,62.64,1991,1,DJF
1991-01-13,0.0,6.1,13.175,0.2,66.25,0.0,9.08,16.88,3.91,48.75,1991,1,DJF
1991-01-14,0.0,5.45,13.5,-0.825,63.5,0.0,8.93,17.8,3.65,43.89,1991,1,DJF
1991-01-15,0.0,6.675,13.075,-1.65,61.5,0.0,8.53,14.88,4.27,41.02,1991,1,DJF
1991-01-16,0.05,6.775,13.05,0.65,64.5,0.0,8.09,13.43,3.4,51.09,1991,1,DJF
1991-01-17,0.0,6.325,14.025,-0.30000000000000004,65.0,0.0,8.85,17.62,3.09,51.61,1991,1,DJF
1991-01-18,0.0,7.15,14.5,1.275,62.5,0.0,9.64,16.72,4.49,48.05,1991,1,DJF
1991-01-19,0.0,6.875,14.7,0.6,62.75,0.0,9.85,19.39,4.25,44.41,1991,1,DJF
1991-01-20,0.0,7.25,15.275,0.4,61.5,0.0,10.87,18.96,5.41,39.29,1991,1,DJF
1991-01-21,0.0,7.225,15.325,0.925,61.25,0.0,11.34,19.65,5.9,40.92,1991,1,DJF
1991-01-22,0.0,6.95,15.325,0.15,62.75,0.0,10.46,19.54,4.49,42.56,1991,1,DJF
1991-01-23,0.0,7.425,15.45,0.4,61.25,0.0,11.91,19.12,7.3,40.47,1991,1,DJF
1991-01-24,0.5,9.45,16.400000000000002,0.675,61.75,0.0,11.83,20.0,5.75,48.06,1991,1,DJF
1991-01-25,5.75,8.925,12.125,6.725,79.25,0.0,9.76,12.33,8.29,74.59,1991,1,DJF
1991-01-26,9.2,9.9,13.475,7.275,88.25,0.27,12.82,19.25,7.57,79.42,1991,1,DJF
1991-01-27,8.1,12.625,17.775,7.9,83.0,1.66,16.28,22.81,9.43,57.61,1991,1,DJF
1991-01-28,19.95,12.025,17.075,6.45,87.75,0.92,14.0,19.14,8.59,62.89,1991,1,DJF
1991-01-29,0.0,10.275,17.0,4.85,80.0,0.0,12.95,23.16,6.19,51.06,1991,1,DJF
1991-01-30,0.0,11.1,17.975,4.25,69.25,0.0,14.58,22.08,8.94,39.09,1991,1,DJF
1991-01-31,0.0,10.825,17.3,5.275,73.0,0.0,13.22,21.55,8.09,47.56,1991,1,DJF
1991-02-01,0.0,9.65,17.15,3.4,67.5,0.0,12.35,21.81,6.6,41.24,1991,2,DJF
1991-02-02,0.05,9.625,15.925,2.275,66.25,0.0,11.26,17.76,6.72,43.06,1991,2,DJF
1991-02-03,0.0,9.925,16.7,3.125,62.75,0.0,13.72,20.88,7.69,41.76,1991,2,DJF
1991-02-04,0.0,9.55,16.4,2.55,67.25,0.0,10.88,16.36,6.83,51.73,1991,2,DJF
1991-02-05,11.95,8.875,12.75,5.65,78.75,0.0,10.29,18.74,7.04,60.61,1991,2,DJF
1991-02-06,4.75,8.4,11.625,4.95,85.5,0.29,12.38,18.03,6.81,56.85,1991,2,DJF
1991-02-07,4.85,10.2,14.725,4.75,76.75,0.46,10.93,18.1,5.46,63.92,1991,2,DJF
1991-02-08,0.9,12.125,16.8,8.025,73.25,0.25,13.13,20.93,8.42,56.03,1991,2,DJF
1991-02-09,15.75,10.975,12.75,9.55,88.75,1.14,14.46,22.14,9.44,64.13,1991,2,DJF
1991-02-10,59.5,10.875,12.375,8.9,92.5,0.09,14.4,20.32,10.72,64.94,1991,2,DJF
1991-02-11,33.35,9.125,13.45,5.875,90.5,0.97,13.01,18.56,8.17,68.04,1991,2,DJF
1991-02-12,0.15,9.0,13.6,4.3,79.25,0.04,11.8,20.08,6.27,50.12,1991,2,DJF
1991-02-13,3.1,9.725,14.475000000000001,3.925,72.25,0.0,11.23,17.92,5.46,41.23,1991,2,DJF
1991-02-14,22.450000000000003,7.575,11.2,2.8,90.25,0.0,11.17,17.44,6.77,42.54,1991,2,DJF
1991-02-15,0.5,6.325,12.075,0.925,66.0,0.02,9.22,17.09,3.24,42.83,1991,2,DJF
1991-02-16,0.0,7.075,14.575,0.024999999999999994,59.5,5.51,9.93,18.55,2.9,38.49,1991,2,DJF
1991-02-17,0.0,7.3,15.175,0.02500000000000001,61.25,0.0,10.87,19.63,3.82,33.88,1991,2,DJF
1991-02-18,0.0,7.825,15.850000000000001,-0.4,56.0,0.0,10.14,19.4,3.45,36.16,1991,2,DJF
1991-02-19,0.0,8.85,16.225,0.6000000000000001,60.75,0.0,12.49,20.59,6.35,36.29,1991,2,DJF
1991-02-20,0.0,11.45,19.925,3.575,53.25,0.0,16.59,24.03,10.18,24.44,1991,2,DJF
1991-02-21,0.0,12.05,20.65,4.525,60.5,0.0,15.99,24.56,8.3,29.16,1991,2,DJF
1991-02-22,0.0,13.15,20.975,5.15,63.0,0.0,15.69,24.23,8.2,31.73,1991,2,DJF
1991-02-23,1.35,14.05,20.55,8.225000000000001,66.5,0.0,15.36,23.03,10.38,40.86,1991,2,DJF
1991-02-24,6.15,12.725,18.85,8.05,75.5,0.34,13.02,17.14,9.97,65.83,1991,2,DJF
1991-02-25,16.75,10.55,14.525,6.15,87.0,16.45,14.0,19.91,9.21,70.47,1991,2,DJF
1991-02-26,0.6,10.9,16.974999999999998,5.475,75.0,0.06,14.84,22.08,8.66,52.1,1991,2,DJF
1991-02-27,4.45,9.525,13.675,5.3,81.25,0.0,13.41,21.16,6.77,55.49,1991,2,DJF
1991-02-28,0.0,10.5,16.8,4.725,69.5,0.0,12.82,21.37,6.33,48.22,1991,2,DJF
1991-03-01,0.0,11.9,19.4,3.775,62.75,0.32,15.08,23.67,6.96,38.98,1991,3,MAM
1991-03-02,2.8499999999999996,10.0,12.775,6.125,74.5,0.0,13.22,19.62,9.37,51.96,1991,3,MAM
1991-03-03,9.0,11.9,16.675,5.1,80.0,0.0,14.51,21.27,7.73,57.82,1991,3,MAM
1991-03-04,35.95,10.6,12.475,8.0,89.75,10.2,13.28,17.95,9.83,74.98,1991,3,MAM
1991-03-05,0.6,10.9,15.975,5.075,75.25,0.01,15.0,21.97,8.8,54.85,1991,3,MAM
1991-03-06,0.0,11.325,17.625,4.3,67.25,0.0,13.46,23.07,5.92,38.25,1991,3,MAM
1991-03-07,0.35,13.6,19.400000000000002,4.925,61.25,0.0,15.33,24.36,6.79,33.25,1991,3,MAM
1991-03-08,18.9,11.425,14.1,9.55,87.75,0.0,14.8,20.75,10.18,47.81,1991,3,MAM
1991-03-09,2.8,13.7,19.125,9.25,75.5,3.3,17.12,25.42,9.81,47.66,1991,3,MAM
1991-03-10,0.2,14.649999999999999,20.974999999999998,8.55,68.75,0.35,18.43,26.98,12.2,43.59,1991,3,MAM
1991-03-11,0.55,15.525,21.825,9.675,67.0,0.0,18.82,27.27,10.86,38.52,1991,3,MAM
1991-03-12,12.7,13.475,17.95,9.225,84.75,0.07,19.66,27.36,12.1,40.09,1991,3,MAM
1991-03-13,0.0,13.35,19.75,7.275,75.0,0.01,17.89,26.43,11.16,42.82,1991,3,MAM
1991-03-14,0.0,13.525,20.974999999999998,6.3,65.5,0.0,17.12,26.61,9.51,38.16,1991,3,MAM
1991-03-15,0.0,14.15,21.675,6.325,63.5,0.05,17.11,24.61,11.08,40.07,1991,3,MAM
1991-03-16,0.05,15.25,22.775,7.35,63.5,0.0,19.31,27.08,12.21,32.43,1991,3,MAM
1991-03-17,4.6,15.425,20.25,12.025,70.5,0.0,19.03,26.24,13.38,38.11,1991,3,MAM
1991-03-18,32.3,13.7,17.025,11.05,83.25,1.75,14.76,22.18,11.41,56.55,1991,3,MAM
1991-03-19,0.0,15.275,21.925,9.3,71.5,0.0,18.58,28.21,10.39,48.72,1991,3,MAM
1991-03-20,0.0,17.1,24.075,8.8,64.75,5.61,20.35,28.42,13.13,41.6,1991,3,MAM
1991-03-21,31.3,15.825000000000001,21.7,12.0,77.5,0.0,19.5,26.63,13.46,43.89,1991,3,MAM
1991-03-22,35.3,13.0,15.575,11.55,89.25,0.0,18.56,26.59,13.98,44.74,1991,3,MAM
1991-03-23,12.35,12.575,16.525,7.8500000000000005,83.25,6.58,15.99,21.44,11.37,57.11,1991,3,MAM
1991-03-24,0.0,14.8,21.425,7.2,70.0,0.14,17.71,25.88,9.42,46.42,1991,3,MAM
1991-03-25,0.0,15.899999999999999,22.3,8.725,67.5,3.1,17.94,24.31,11.94,43.78,1991,3,MAM
1991-03-26,0.0,16.625,23.3,9.5,69.75,0.0,19.49,27.62,11.67,40.55,1991,3,MAM
1991-03-27,0.0,17.975,24.775,9.825,63.25,0.0,22.04,31.06,12.95,36.94,1991,3,MAM
1991-03-28,0.0,19.325,26.25,11.925,61.75,0.0,24.66,33.48,17.03,37.49,1991,3,MAM
1991-03-29,0.0,20.2,27.225,12.525,61.25,0.0,25.87,34.99,18.61,38.92,1991,3,MAM
1991-03-30,0.0,20.975,27.575,13.5,63.0,0.0,26.71,35.58,17.86,36.52,1991,3,MAM
