,blue,green,red,nir08,swir16,swir22,NDVI,NDBI,MNDWI,BSI
blue,1.0,0.9925046050153523,0.977970554097826,0.4284455507616012,0.8817031568328312,0.9564070375336602,-0.7724413140022739,0.8893531370230882,0.37743547567631375,0.8925477727287185
green,0.9925046050153523,1.0,0.9858209386783805,0.4746100131709946,0.897937031941122,0.9626962656820781,-0.7391818635622327,0.8714111316905219,0.3524150424893584,0.882295068689002
red,0.977970554097826,0.9858209386783805,1.0,0.4895626073123432,0.9185515737967598,0.9790690863598098,-0.6997727898899515,0.8885740786252218,0.2882700984722053,0.9075438177570317
nir08,0.4284455507616012,0.4746100131709946,0.4895626073123432,1.0,0.6984732215042896,0.5352526532056519,0.06875087401237126,0.20729527148445237,-0.430705148113635,0.21530696534754631
swir16,0.8817031568328312,0.897937031941122,0.9185515737967598,0.6984732215042896,1.0,0.9516681571294113,-0.4872297660394777,0.7841553554750986,-0.01024415100939668,0.7865389202000896
swir22,0.9564070375336602,0.9626962656820781,0.9790690863598098,0.5352526532056519,0.9516681571294113,1.0,-0.6305792814706079,0.8863417976205742,0.19050677644754727,0.893907759548891
NDVI,-0.7724413140022739,-0.7391818635622327,-0.6997727898899515,0.06875087401237126,-0.4872297660394777,-0.6305792814706079,1.0,-0.7923296311997468,-0.7040217599373277,-0.7949695798554558
NDBI,0.8893531370230882,0.8714111316905219,0.8885740786252218,0.20729527148445237,0.7841553554750986,0.8863417976205742,-0.7923296311997468,1.0,0.3367954762097408,0.9911093865077217
MNDWI,0.37743547567631375,0.3524150424893584,0.2882700984722053,-0.430705148113635,-0.01024415100939668,0.19050677644754727,-0.7040217599373277,0.3367954762097408,1.0,0.35485232193253724
BSI,0.8925477727287185,0.882295068689002,0.9075438177570317,0.21530696534754631,0.7865389202000896,0.893907759548891,-0.7949695798554558,0.9911093865077217,0.35485232193253724,1.0
