feature,missing_count,variance,unique_values,retained,selection_stage,scientific_role,test_data_used_for_selection
blue,0,0.0008582561496570343,9239,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,reflectance band,False
green,0,0.001625861995861567,10875,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,reflectance band,False
red,0,0.0031489839157739967,12185,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,reflectance band,False
nir08,0,0.004943323083427693,12735,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,reflectance band,False
swir16,0,0.00816888150826297,14057,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,reflectance band,False
swir22,0,0.0074260125767205715,13968,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,reflectance band,False
NDVI,0,0.04251433748080908,20733,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,engineered spectral index,False
NDBI,0,0.01848238538082325,20732,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,engineered spectral index,False
MNDWI,0,0.03926458958805613,20712,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,engineered spectral index,False
BSI,0,0.017055964019089608,20743,True,prespecified_physical_features_then_inner_fold_regularisation_or_embedded_selection,engineered spectral index,False
