component_id,component_name,Full local (landscape + terrain),Landscape only,Terrain only,No NDVI,No MNDWI,No NDBI
139-001,Khanpur Cave,14,14,11,14,8,14
139-003,Bhir Mound,17,16,14,16,4,17
139-004,Sirkap (fortified city),12,1,15,12,3,12
139-005,Sirsukh (fortified ruined city),9,3,13,9,14,11
139-006,Dharmarajika stupa and monastery,5,5,8,4,7,6
139-007,Khader Mohra (Akhuri),6,8,6,6,11,5
139-008,Kalawan group of buildings,7,2,9,8,10,7
139-009,Giri complex of monuments,1,9,2,1,13,1
139-010,Kunala stupa and monastery,11,6,10,10,6,10
139-011,Jandial complex,16,17,12,17,5,16
139-012,Lalchak and Badalpur Buddhist stuppa,15,12,17,15,17,15
139-013,Mohra Moradu stupa and monastery,4,10,5,5,9,4
139-014,Pippala stupa and monastery,10,13,7,11,2,9
139-015,Jaulian stupa and monastery,3,7,4,2,12,3
139-016,Lalchak mounds,13,4,16,13,16,13
139-017,Buddhist remains around Bhallar stupa,8,15,1,7,1,8
139-018,Giri Mosque and tombs,2,11,3,3,15,2
