component_id,component_name,radius_m,valid_cells,share_c_ge_2,share_c_eq_3,delta_ndvi_median,delta_mndwi_median,delta_ndbi_median
139-001,Khanpur Cave,250,220,0.23636363636363636,0.004545454545454545,0.06419502198696136,-0.0008282363414764404,-0.04929179698228836
139-003,Bhir Mound,250,205,0.07804878048780488,0.0,0.09665435552597046,0.0032505691051483154,-0.06253353506326675
139-004,Sirkap (fortified city),250,219,0.0365296803652968,0.0,0.10317012667655945,-0.008174777030944824,-0.04951940476894379
139-005,Sirsukh (fortified ruined city),250,220,0.05909090909090909,0.004545454545454545,0.08298887312412262,-0.010979950428009033,-0.05369305610656738
139-006,Dharmarajika stupa and monastery,250,219,0.0958904109589041,0.0,0.08805328607559204,0.010708451271057129,-0.06101677566766739
139-007,Khader Mohra (Akhuri),250,220,0.00909090909090909,0.0,0.1488044112920761,-0.012597084045410156,-0.10477343946695328
139-008,Kalawan group of buildings,250,220,0.01818181818181818,0.0,0.16047972440719604,-0.004336223006248474,-0.1202450692653656
139-009,Giri complex of monuments,250,214,0.056074766355140186,0.004672897196261682,0.10862290859222412,-0.028699561953544617,-0.07314147055149078
139-010,Kunala stupa and monastery,250,219,0.0273972602739726,0.0045662100456621,0.12798351049423218,-0.003996044397354126,-0.08587130904197693
139-011,Jandial complex,250,223,0.10762331838565023,0.004484304932735426,0.05644315481185913,0.024054110050201416,-0.05336209386587143
139-012,Lalchak and Badalpur Buddhist stuppa,250,218,0.12385321100917432,0.0,0.07899731397628784,-0.0012996941804885864,-0.05605921894311905
139-013,Mohra Moradu stupa and monastery,250,222,0.018018018018018018,0.0,0.14905504882335663,-0.014698892831802368,-0.10689429193735123
139-014,Pippala stupa and monastery,250,218,0.22935779816513763,0.0045871559633027525,0.035993605852127075,0.01218201220035553,-0.030719786882400513
139-015,Jaulian stupa and monastery,250,220,0.08181818181818182,0.0,0.2517749071121216,-0.02352185547351837,-0.16889837384223938
139-016,Lalchak mounds,250,217,0.11981566820276497,0.004608294930875576,0.07685586810112,-0.014185667037963867,-0.04941742122173309
139-017,Buddhist remains around Bhallar stupa,250,219,0.2374429223744292,0.0,0.08066198229789734,-0.009828835725784302,-0.035401757806539536
139-018,Giri Mosque and tombs,250,219,0.2191780821917808,0.0319634703196347,0.10771149396896362,-0.027976006269454956,-0.0577106848359108
139-001,Khanpur Cave,500,858,0.2331002331002331,0.023310023310023312,0.07127735018730164,-0.004863321781158447,-0.04115905240178108
139-003,Bhir Mound,500,738,0.15176151761517614,0.0,0.0579843670129776,0.01191169023513794,-0.04327617213129997
139-004,Sirkap (fortified city),500,874,0.12128146453089245,0.006864988558352402,0.0802706927061081,-0.0024666637182235718,-0.04204196482896805
139-005,Sirsukh (fortified ruined city),500,871,0.14121699196326062,0.006888633754305396,0.07160508632659912,-0.009832024574279785,-0.04269102215766907
139-006,Dharmarajika stupa and monastery,500,870,0.06666666666666667,0.0,0.103110671043396,0.006653711199760437,-0.07323215901851654
139-007,Khader Mohra (Akhuri),500,871,0.09184845005740529,0.010332950631458095,0.13091352581977844,-0.01753699779510498,-0.08673527836799622
139-008,Kalawan group of buildings,500,875,0.05714285714285714,0.0,0.11658203601837158,0.0016378462314605713,-0.08845806866884232
139-009,Giri complex of monuments,500,874,0.18421052631578946,0.034324942791762014,0.10389935970306396,-0.027961179614067078,-0.06215202063322067
139-010,Kunala stupa and monastery,500,872,0.05963302752293578,0.0011467889908256881,0.1086292415857315,-0.00283890962600708,-0.0704413577914238
139-011,Jandial complex,500,868,0.2488479262672811,0.0034562211981566822,0.032549574971199036,0.018980547785758972,-0.025757789611816406
139-012,Lalchak and Badalpur Buddhist stuppa,500,871,0.07577497129735936,0.001148105625717566,0.09727203845977783,-0.015215873718261719,-0.0665491372346878
139-013,Mohra Moradu stupa and monastery,500,871,0.1044776119402985,0.011481056257175661,0.12874671816825867,-0.01756805181503296,-0.08362003415822983
139-014,Pippala stupa and monastery,500,872,0.231651376146789,0.0022935779816513763,0.04279647767543793,0.009517878293991089,-0.03685178607702255
139-015,Jaulian stupa and monastery,500,870,0.07126436781609195,0.0034482758620689655,0.20528197288513184,-0.02426891028881073,-0.1298610121011734
139-016,Lalchak mounds,500,875,0.136,0.014857142857142857,0.07987630367279053,-0.013454347848892212,-0.04838954657316208
139-017,Buddhist remains around Bhallar stupa,500,870,0.3195402298850575,0.006896551724137931,0.021300166845321655,0.005196332931518555,-0.011210881173610687
139-018,Giri Mosque and tombs,500,874,0.2311212814645309,0.02745995423340961,0.10202381014823914,-0.038210079073905945,-0.045406781136989594
139-001,Khanpur Cave,1000,3266,0.1938150642988365,0.016840171463563994,0.07823461294174194,-0.0012692660093307495,-0.04849403351545334
139-003,Bhir Mound,1000,2787,0.13993541442411195,0.002511661284535343,0.055362313985824585,0.011572718620300293,-0.04306777939200401
139-004,Sirkap (fortified city),1000,3447,0.178706121264868,0.005221932114882507,0.066683828830719,0.002901732921600342,-0.04045296460390091
139-005,Sirsukh (fortified ruined city),1000,3490,0.23467048710601718,0.015472779369627506,0.05356316268444061,-0.0053955018520355225,-0.031154971569776535
139-006,Dharmarajika stupa and monastery,1000,3494,0.0432169433314253,0.0,0.12958481907844543,-0.005607202649116516,-0.08491561561822891
139-007,Khader Mohra (Akhuri),1000,3493,0.14113942170054394,0.007443458345261953,0.10958230495452881,-0.007396131753921509,-0.07150113582611084
139-008,Kalawan group of buildings,1000,3498,0.0634648370497427,0.0002858776443682104,0.12339095771312714,-0.004336223006248474,-0.07976073771715164
139-009,Giri complex of monuments,1000,3475,0.180431654676259,0.02474820143884892,0.09946316480636597,-0.0308363139629364,-0.04983833432197571
139-010,Kunala stupa and monastery,1000,3486,0.12507171543316123,0.0037292025243832474,0.0839114785194397,0.001397743821144104,-0.05643153563141823
139-011,Jandial complex,1000,3483,0.22538041917886878,0.012345679012345678,0.049537718296051025,0.005239605903625488,-0.028946897014975548
139-012,Lalchak and Badalpur Buddhist stuppa,1000,3406,0.0983558426306518,0.0011743981209630064,0.09951151907444,-0.017978116869926453,-0.06223946437239647
139-013,Mohra Moradu stupa and monastery,1000,3493,0.14056684798167765,0.006870884626395649,0.10881617665290833,-0.006778717041015625,-0.07169727981090546
139-014,Pippala stupa and monastery,1000,3489,0.1874462596732588,0.0071653768988248785,0.0862642228603363,-0.003981858491897583,-0.0580829456448555
139-015,Jaulian stupa and monastery,1000,3490,0.12263610315186246,0.0166189111747851,0.1386401504278183,-0.02047353982925415,-0.08163097500801086
139-016,Lalchak mounds,1000,3483,0.203847258110824,0.008900373241458513,0.05634549260139465,-0.004016309976577759,-0.03590063378214836
139-017,Buddhist remains around Bhallar stupa,1000,3266,0.33343539497856706,0.010716472749540722,0.009952828288078308,0.005404576659202576,-0.010780684649944305
139-018,Giri Mosque and tombs,1000,3477,0.16709807305148117,0.015243025596778832,0.09729743003845215,-0.03241640329360962,-0.048622310161590576
