component_id,component_name,radius_m,terrain_cells,elevation_median_m,elevation_p10_m,elevation_p90_m,slope_median_deg,slope_p90_deg,tri_median_m,tpi500_median_m,flow_accumulation_p90_cells,twi_proxy_p90,drainage_distance_median_m
139-001,Khanpur Cave,250,247,576.0,561.0,598.0,8.923663139343262,15.71999740600586,3.7955565452575684,5.63909912109375,11.0,8.13907241821289,925.252685546875
139-001,Khanpur Cave,500,987,568.0,557.0,592.0,6.906153202056885,15.472119331359863,3.13747501373291,0.07257080078125,10.0,8.124760627746582,827.7481689453125
139-001,Khanpur Cave,1000,3967,565.0,541.0,587.0,4.817547798156738,13.481366157531738,2.1139419078826904,-3.70062255859375,9.0,8.32283878326416,602.5613403320312
139-003,Bhir Mound,250,248,516.0,512.0,521.0,3.5618276596069336,8.210464477539062,1.576182246208191,2.0,5.0,8.071321487426758,1287.4775390625
139-003,Bhir Mound,500,985,515.0,508.0,521.0,3.3397092819213867,7.20517635345459,1.4361406564712524,0.72265625,6.0,8.472672462463379,1312.3939208984375
139-003,Bhir Mound,1000,3962,514.0,506.0,521.0,3.4656643867492676,7.212281227111816,1.427954912185669,-0.208892822265625,7.0,8.453900337219238,1324.374755859375
139-004,Sirkap (fortified city),250,247,512.0,509.0,515.0,2.996107578277588,6.562185287475586,1.346291184425354,-2.26171875,5.0,8.125020980834961,1244.29638671875
139-004,Sirkap (fortified city),500,983,512.0,507.0,525.7999877929688,3.5618276596069336,8.845051765441895,1.5051993131637573,-1.319549560546875,7.0,8.335844039916992,1173.341552734375
139-004,Sirkap (fortified city),1000,3963,511.0,501.0,541.0,3.869870662689209,13.058137893676758,1.6677080392837524,-1.05694580078125,8.0,8.35702133178711,996.8583374023438
139-005,Sirsukh (fortified ruined city),250,247,508.0,505.6000061035156,510.0,2.413038730621338,4.544013023376465,1.0532686710357666,-1.499542236328125,6.0,8.55288028717041,1118.1605224609375
139-005,Sirsukh (fortified ruined city),500,993,509.0,505.0,513.0,2.413038730621338,4.544013023376465,1.0532686710357666,-0.7401123046875,6.0,8.55288028717041,1142.479248046875
139-005,Sirsukh (fortified ruined city),1000,3956,511.0,504.0,518.0,2.413038730621338,4.7610650062561035,1.0606601238250732,-0.89532470703125,6.0,8.55288028717041,1244.232177734375
139-006,Dharmarajika stupa and monastery,250,247,530.0,523.5999755859375,536.0,3.818449020385742,7.9311394691467285,1.7589058876037598,-5.09088134765625,8.0,8.488116264343262,704.9265747070312
139-006,Dharmarajika stupa and monastery,500,986,530.0,523.0,546.0,4.544013023376465,9.382647514343262,1.9882428646087646,-4.434783935546875,8.0,8.375116348266602,654.3739624023438
139-006,Dharmarajika stupa and monastery,1000,3962,534.0,521.0,568.0,5.13391637802124,13.823004722595215,2.243044853210449,-1.612030029296875,9.0,8.249528884887695,581.44482421875
139-007,Khader Mohra (Akhuri),250,247,582.0,555.5999755859375,626.4000244140625,18.02637481689453,29.197053909301758,7.758060455322266,-10.57574462890625,15.0,7.585278034210205,132.178955078125
139-007,Khader Mohra (Akhuri),500,989,593.0,537.0,655.199951171875,14.547320365905762,27.477876663208008,6.327025413513184,1.47564697265625,11.0,7.5563812255859375,197.5694580078125
139-007,Khader Mohra (Akhuri),1000,3965,578.0,525.0,647.0,10.160966873168945,23.861289978027344,4.572335243225098,-2.20111083984375,11.0,7.965349197387695,252.25418090820312
139-008,Kalawan group of buildings,250,248,537.0,526.0,551.0,6.515340805053711,11.93970775604248,2.7613401412963867,0.420562744140625,10.0,7.994907855987549,756.298095703125
139-008,Kalawan group of buildings,500,990,534.0,522.0,552.0,5.700327396392822,12.662046432495117,2.506242275238037,-3.665283203125,9.0,8.249528884887695,702.2096557617188
139-008,Kalawan group of buildings,1000,3953,532.0,518.0,568.0,5.660061359405518,16.317108154296875,2.4044229984283447,-1.91827392578125,9.0,8.242171287536621,606.4683227539062
139-009,Giri complex of monuments,250,246,620.0,600.0,631.5,10.798384666442871,19.74662208557129,4.764772415161133,-16.765838623046875,12.0,7.777000427246094,201.61053466796875
139-009,Giri complex of monuments,500,991,626.0,589.0,677.0,12.886445045471191,26.534521102905273,5.573374271392822,-21.18365478515625,19.0,8.09338665008545,138.3775177001953
139-009,Giri complex of monuments,1000,3953,648.0,591.0,813.7998046875,16.271455764770508,31.23151969909668,7.004462718963623,-7.4407958984375,19.0,7.863491535186768,160.6830291748047
139-010,Kunala stupa and monastery,250,247,521.0,513.0,540.0,5.555023670196533,14.959747314453125,2.616056203842163,-4.11016845703125,9.0,8.262336730957031,924.6383666992188
139-010,Kunala stupa and monastery,500,994,521.0,511.0,550.0,5.660061359405518,16.20577621459961,2.3717081546783447,-0.477508544921875,8.0,8.129668235778809,955.0604248046875
139-010,Kunala stupa and monastery,1000,3961,516.0,503.0,548.0,4.62998104095459,14.024491310119629,1.9843134880065918,-2.26080322265625,9.0,8.310611724853516,931.7901611328125
139-011,Jandial complex,250,246,499.0,495.0,503.0,3.5618276596069336,6.191836357116699,1.5129449367523193,0.1280975341796875,7.0,8.380955696105957,712.4918212890625
139-011,Jandial complex,500,995,499.0,494.0,503.0,2.996107578277588,5.781433582305908,1.334634780883789,-0.026641845703125,7.0,8.400824546813965,753.234130859375
139-011,Jandial complex,1000,3960,499.0,494.0,506.0,2.8980939388275146,5.700327396392822,1.2624380588531494,-0.388885498046875,6.0,8.489270210266113,913.7823486328125
139-012,Lalchak and Badalpur Buddhist stuppa,250,245,526.0,523.0,529.0,2.163911819458008,3.818449020385742,0.9519716501235962,0.36822509765625,5.0,8.473177909851074,1354.2059326171875
139-012,Lalchak and Badalpur Buddhist stuppa,500,986,526.0,522.0,529.0,2.227874279022217,4.342517852783203,1.0307763814926147,0.245635986328125,5.0,8.47309398651123,1344.4566650390625
139-012,Lalchak and Badalpur Buddhist stuppa,1000,3950,524.0,518.0,532.0,2.413038730621338,4.7610650062561035,1.0752906799316406,-0.0863037109375,6.0,8.55288028717041,1317.098876953125
139-013,Mohra Moradu stupa and monastery,250,246,577.0,553.0,616.0,17.492658615112305,28.84606170654297,7.49672794342041,-13.544097900390625,15.5,7.552565574645996,121.99613952636719
139-013,Mohra Moradu stupa and monastery,500,994,589.0,536.0,655.699951171875,13.841519355773926,27.54233169555664,6.1618781089782715,-1.638214111328125,11.0,7.587780475616455,200.63160705566406
