year,annual_rainfall_mm,monsoon_rainfall_mm,rx1day_mm,rx5day_mm,r95p_days,cwd_days,cdd_days,pre30_rainfall_mm,pre90_rainfall_mm,mean_tmax_c,annual_max_tmax_c,tx95_days,heatwave_max_days,mean_dtr_c,high_dtr_days,mean_rh_percent,strong_wind_days
1991,514.0699999999999,366.74999999999994,44.9,69.1,1,5,44,114.5,366.74999999999994,30.578684931506853,46.54,33,12,14.082493150684932,15,38.8732602739726,26
1992,979.01,542.69,92.6,144.24999999999997,11,10,29,187.44,537.8500000000001,28.70756830601093,45.13,24,8,12.924453551912569,17,49.75341530054645,19
1993,650.1099999999999,357.34999999999997,41.72,74.45,3,8,51,81.0,354.55,30.982794520547948,47.13,22,9,14.619506849315071,41,37.758876712328764,27
1994,946.25,631.01,55.36,154.35999999999999,6,13,39,48.4,628.68,29.58712328767123,47.53,33,15,13.340191780821918,29,46.20890410958904,31
1995,1345.5499999999997,867.8,80.21,181.58999999999997,11,12,35,80.54,867.58,28.266027397260274,47.26,25,15,12.937616438356164,14,52.17742465753425,10
1996,938.96,457.96999999999997,56.91,106.14999999999999,7,15,29,47.769999999999996,456.88,29.42691256830601,45.71,11,5,13.620218579234972,21,46.7866393442623,22
1997,343.66999999999996,100.75,51.99,72.89000000000001,1,5,34,17.299999999999997,100.49000000000001,30.361780821917804,45.82,31,10,13.66813698630137,12,38.594630136986304,17
1998,441.65000000000003,259.96999999999997,29.39,40.79,0,7,56,10.25,238.26,31.739150684931506,46.02,21,9,14.581589041095892,32,33.46043835616438,33
1999,332.85,191.21,21.7,40.08,0,8,56,45.410000000000004,185.26999999999998,32.823369863013696,46.58,37,8,14.99172602739726,49,30.940821917808215,28
2000,278.62,118.27,25.96,38.870000000000005,0,6,47,23.89,118.23,32.487404371584695,45.85,39,8,14.87606557377049,46,30.67661202185792,25
2001,422.01,220.91999999999996,21.43,45.99999999999999,0,8,54,32.14,194.00999999999996,32.04241095890411,46.77,13,5,14.689068493150685,42,33.25,29
2002,423.04999999999995,206.74,28.92,65.44,0,11,37,51.370000000000005,206.74,32.288794520547945,47.02,43,9,14.572356164383562,38,33.12002739726028,25
2003,794.35,494.37999999999994,45.59,86.84,2,10,36,130.43,475.93999999999994,29.875863013698627,46.7,13,9,13.158849315068492,24,45.23465753424658,19
2004,475.0,229.03999999999996,53.96,60.47,2,6,39,17.08,227.84999999999997,31.676256830601094,44.48,25,11,13.66273224043716,26,38.86415300546448,15
2005,840.89,394.39,63.13,101.89000000000001,4,8,41,52.279999999999994,369.37,29.140849315068493,47.26,16,13,12.777534246575343,4,46.0681095890411,14
2006,1117.49,737.3,79.89,189.99,7,8,27,36.33,737.26,29.34030136986301,45.5,14,6,12.30586301369863,18,51.466958904109596,17
2007,1127.96,665.05,60.79,131.26,8,15,68,116.9,654.11,28.820246575342463,48.22,9,8,12.098794520547944,4,51.74797260273972,6
2008,1038.81,499.24,81.08,137.35,6,10,52,67.73,499.24000000000007,29.261311475409833,42.28,0,0,12.544508196721312,9,49.830245901639344,7
2009,646.9399999999999,311.18999999999994,41.84,86.5,2,5,35,37.040000000000006,307.53000000000003,30.375095890410957,46.95,16,8,13.392027397260275,17,42.60789041095891,10
2010,937.9300000000001,542.4000000000001,86.32,143.83,5,16,47,63.849999999999994,535.3100000000001,30.19052054794521,46.5,13,5,12.759041095890408,13,45.91917808219178,23
2011,823.2,478.24,51.32,97.05000000000001,3,9,51,149.05,463.51,29.529150684931505,45.07,13,5,12.792465753424658,11,49.1714794520548,7
2012,833.8,557.35,77.1,157.48,3,12,39,110.26,557.35,28.978415300546448,46.12,23,8,12.82691256830601,8,46.55680327868853,14
2013,990.53,568.15,63.48,111.63999999999999,6,10,43,127.82,567.0699999999999,28.82819178082192,46.18,17,7,12.174794520547946,10,51.22575342465754,23
2014,889.54,550.1800000000001,69.94,142.54000000000002,8,10,54,165.96,542.04,28.99619178082192,45.56,14,13,12.352876712328765,4,47.49589041095891,15
2015,1127.14,520.8100000000001,51.6,125.75,5,5,26,88.82,506.7,28.762356164383558,44.38,4,2,11.923287671232877,2,52.113369863013695,12
2016,929.19,515.7700000000001,68.86,101.16,4,7,87,57.72999999999999,508.39,30.453797814207647,45.66,7,5,12.47434426229508,12,45.75112021857923,14
2017,913.51,438.7,46.51,105.86,3,10,38,33.949999999999996,438.07,29.756246575342466,47.38,9,5,12.430821917808219,6,47.273972602739725,10
2018,899.26,535.21,52.28,86.83000000000001,4,20,29,40.669999999999995,525.6700000000002,29.77654794520548,45.51,10,6,12.740520547945206,15,47.866904109589036,16
2019,1027.01,494.0,43.39,83.55,1,12,17,133.32000000000002,493.48,28.139643835616436,45.49,13,4,11.752739726027396,8,56.72619178082192,13
2020,3829.18,725.91,450.57,540.76,23,15,28,96.7,725.91,25.719590163934424,37.96,0,0,10.104644808743169,1,66.72131147540983,12
2021,1920.5400000000002,726.7499999999998,414.3,414.45,8,12,41,250.14999999999998,724.4599999999998,27.90715068493151,43.46,3,2,11.447068493150686,2,59.408931506849314,12
2022,1678.0400000000002,1013.32,100.03,192.23000000000002,14,14,25,201.36,984.3399999999999,28.04145205479452,44.27,12,8,11.253232876712326,6,60.980082191780824,14
2023,1387.46,732.56,84.69,148.32,7,17,31,144.97,731.6899999999999,27.19438356164384,42.79,1,1,10.543178082191782,4,63.31224657534247,8
2024,1822.61,1355.6900000000003,314.83,388.75999999999993,12,16,42,84.47000000000001,1353.79,28.458442622950823,46.2,15,7,11.480327868852457,7,56.87379781420764,14
2025,1534.5399999999997,982.51,87.94,157.65999999999997,11,21,45,92.2,933.94,28.884657534246575,46.06,11,7,11.458794520547945,17,56.843999999999994,11
