date,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M,RH2M,WS10M,year,month,dtr
1991-01-01,0.0,13.93,2.75,6.63,46.43,2.16,1991,1,11.18
1991-01-02,0.0,14.53,1.01,6.01,46.33,2.94,1991,1,13.52
1991-01-03,0.0,15.71,1.64,7.45,43.52,2.19,1991,1,14.07
1991-01-04,0.0,15.63,5.77,9.31,40.11,1.52,1991,1,9.860000000000001
1991-01-05,0.0,17.56,5.46,9.89,38.13,1.83,1991,1,12.099999999999998
1991-01-06,0.0,14.68,5.24,9.6,45.08,1.98,1991,1,9.44
1991-01-07,0.0,16.84,4.97,10.12,59.58,1.94,1991,1,11.870000000000001
1991-01-08,0.0,18.13,5.15,9.87,65.9,2.86,1991,1,12.979999999999999
1991-01-09,0.0,18.02,4.82,10.08,50.85,2.18,1991,1,13.2
1991-01-10,0.0,18.2,6.5,11.4,49.55,1.89,1991,1,11.7
1991-01-11,0.0,15.75,5.84,10.34,68.31,2.5,1991,1,9.91
1991-01-12,0.0,17.15,4.49,9.18,62.64,2.58,1991,1,12.659999999999998
1991-01-13,0.0,16.88,3.91,9.08,48.75,2.44,1991,1,12.969999999999999
1991-01-14,0.0,17.8,3.65,8.93,43.89,2.94,1991,1,14.15
1991-01-15,0.0,14.88,4.27,8.53,41.02,2.01,1991,1,10.610000000000001
1991-01-16,0.0,13.43,3.4,8.09,51.09,2.36,1991,1,10.03
1991-01-17,0.0,17.62,3.09,8.85,51.61,2.55,1991,1,14.530000000000001
1991-01-18,0.0,16.72,4.49,9.64,48.05,2.21,1991,1,12.229999999999999
1991-01-19,0.0,19.39,4.25,9.85,44.41,3.18,1991,1,15.14
1991-01-20,0.0,18.96,5.41,10.87,39.29,2.61,1991,1,13.55
1991-01-21,0.0,19.65,5.9,11.34,40.92,2.82,1991,1,13.749999999999998
1991-01-22,0.0,19.54,4.49,10.46,42.56,2.69,1991,1,15.049999999999999
1991-01-23,0.0,19.12,7.3,11.91,40.47,1.91,1991,1,11.82
1991-01-24,0.0,20.0,5.75,11.83,48.06,2.83,1991,1,14.25
1991-01-25,0.0,12.33,8.29,9.76,74.59,2.61,1991,1,4.040000000000001
1991-01-26,0.27,19.25,7.57,12.82,79.42,3.16,1991,1,11.68
1991-01-27,1.66,22.81,9.43,16.28,57.61,2.22,1991,1,13.379999999999999
1991-01-28,0.92,19.14,8.59,14.0,62.89,2.13,1991,1,10.55
1991-01-29,0.0,23.16,6.19,12.95,51.06,3.3,1991,1,16.97
1991-01-30,0.0,22.08,8.94,14.58,39.09,2.08,1991,1,13.139999999999999
1991-01-31,0.0,21.55,8.09,13.22,47.56,2.56,1991,1,13.46
1991-02-01,0.0,21.81,6.6,12.35,41.24,3.29,1991,2,15.209999999999999
1991-02-02,0.0,17.76,6.72,11.26,43.06,2.87,1991,2,11.040000000000003
1991-02-03,0.0,20.88,7.69,13.72,41.76,1.77,1991,2,13.189999999999998
1991-02-04,0.0,16.36,6.83,10.88,51.73,2.56,1991,2,9.53
1991-02-05,0.0,18.74,7.04,10.29,60.61,3.68,1991,2,11.7
1991-02-06,0.29,18.03,6.81,12.38,56.85,2.17,1991,2,11.220000000000002
1991-02-07,0.46,18.1,5.46,10.93,63.92,2.84,1991,2,12.64
1991-02-08,0.25,20.93,8.42,13.13,56.03,2.75,1991,2,12.51
1991-02-09,1.14,22.14,9.44,14.46,64.13,3.68,1991,2,12.700000000000001
1991-02-10,0.09,20.32,10.72,14.4,64.94,5.91,1991,2,9.6
1991-02-11,0.97,18.56,8.17,13.01,68.04,5.86,1991,2,10.389999999999999
1991-02-12,0.04,20.08,6.27,11.8,50.12,2.72,1991,2,13.809999999999999
1991-02-13,0.0,17.92,5.46,11.23,41.23,2.18,1991,2,12.46
1991-02-14,0.0,17.44,6.77,11.17,42.54,4.57,1991,2,10.670000000000002
1991-02-15,0.02,17.09,3.24,9.22,42.83,2.99,1991,2,13.85
1991-02-16,5.51,18.55,2.9,9.93,38.49,2.09,1991,2,15.65
1991-02-17,0.0,19.63,3.82,10.87,33.88,1.94,1991,2,15.809999999999999
1991-02-18,0.0,19.4,3.45,10.14,36.16,2.57,1991,2,15.95
1991-02-19,0.0,20.59,6.35,12.49,36.29,2.33,1991,2,14.24
1991-02-20,0.0,24.03,10.18,16.59,24.44,1.82,1991,2,13.850000000000001
1991-02-21,0.0,24.56,8.3,15.99,29.16,2.31,1991,2,16.259999999999998
1991-02-22,0.0,24.23,8.2,15.69,31.73,2.15,1991,2,16.03
1991-02-23,0.0,23.03,10.38,15.36,40.86,3.38,1991,2,12.65
1991-02-24,0.34,17.14,9.97,13.02,65.83,3.22,1991,2,7.17
1991-02-25,16.45,19.91,9.21,14.0,70.47,2.34,1991,2,10.7
1991-02-26,0.06,22.08,8.66,14.84,52.1,1.68,1991,2,13.419999999999998
1991-02-27,0.0,21.16,6.77,13.41,55.49,3.25,1991,2,14.39
1991-02-28,0.0,21.37,6.33,12.82,48.22,2.76,1991,2,15.040000000000001
1991-03-01,0.32,23.67,6.96,15.08,38.98,2.47,1991,3,16.71
1991-03-02,0.0,19.62,9.37,13.22,51.96,2.65,1991,3,10.250000000000002
1991-03-03,0.0,21.27,7.73,14.51,57.82,3.55,1991,3,13.54
1991-03-04,10.2,17.95,9.83,13.28,74.98,3.73,1991,3,8.12
1991-03-05,0.01,21.97,8.8,15.0,54.85,2.23,1991,3,13.169999999999998
1991-03-06,0.0,23.07,5.92,13.46,38.25,3.88,1991,3,17.15
1991-03-07,0.0,24.36,6.79,15.33,33.25,3.36,1991,3,17.57
1991-03-08,0.0,20.75,10.18,14.8,47.81,4.86,1991,3,10.57
1991-03-09,3.3,25.42,9.81,17.12,47.66,3.69,1991,3,15.610000000000001
1991-03-10,0.35,26.98,12.2,18.43,43.59,2.36,1991,3,14.780000000000001
1991-03-11,0.0,27.27,10.86,18.82,38.52,2.72,1991,3,16.41
1991-03-12,0.07,27.36,12.1,19.66,40.09,3.06,1991,3,15.26
1991-03-13,0.01,26.43,11.16,17.89,42.82,2.88,1991,3,15.27
1991-03-14,0.0,26.61,9.51,17.12,38.16,2.75,1991,3,17.1
1991-03-15,0.05,24.61,11.08,17.11,40.07,2.37,1991,3,13.53
1991-03-16,0.0,27.08,12.21,19.31,32.43,2.44,1991,3,14.869999999999997
1991-03-17,0.0,26.24,13.38,19.03,38.11,2.56,1991,3,12.859999999999998
1991-03-18,1.75,22.18,11.41,14.76,56.55,3.54,1991,3,10.77
1991-03-19,0.0,28.21,10.39,18.58,48.72,2.82,1991,3,17.82
1991-03-20,5.61,28.42,13.13,20.35,41.6,1.99,1991,3,15.290000000000001
1991-03-21,0.0,26.63,13.46,19.5,43.89,3.16,1991,3,13.169999999999998
1991-03-22,0.0,26.59,13.98,18.56,44.74,3.16,1991,3,12.61
1991-03-23,6.58,21.44,11.37,15.99,57.11,2.5,1991,3,10.070000000000002
