row,col,proxy_class,spatial_block,partition,blue,green,red,nir08,swir16,swir22,NDVI,NDBI,MNDWI,BSI
367,333,5,54,development,0.06267999,0.09961249,0.11396749,0.28215748,0.26186252,0.1884375,0.4245882,-0.03730555,-0.44885546,0.04300528
2,163,4,2,outer_proxy_test,0.04299,0.074848756,0.070132494,0.2357375,0.18867125,0.11340375,0.54142284,-0.11089841,-0.4319311,-0.037065335
618,85,2,91,development,0.1387175,0.200235,0.25452,0.36685753,0.544205,0.48546502,0.18078789,0.19466005,-0.462052,0.22475652
623,341,4,95,development,0.032952502,0.0585275,0.0547325,0.2346375,0.16398999,0.093768746,0.6217127,-0.17722689,-0.47395146,-0.10048579
612,388,4,95,development,0.024262503,0.0451075,0.039195,0.19718249,0.1202925,0.06691499,0.6683694,-0.24219228,-0.4545647,-0.1626469
552,592,5,88,development,0.046344995,0.0767325,0.0808575,0.25743502,0.20292999,0.13880001,0.52196693,-0.11839526,-0.45124924,-0.03402593
618,128,2,91,development,0.13889624,0.20082624,0.25836998,0.32637754,0.4009025,0.37814626,0.11630242,0.10247081,-0.33250242,0.17251286
150,179,3,22,development,0.07292375,0.10593751,0.1203475,0.23085625,0.23852876,0.19622,0.31465712,0.016345864,-0.38491794,0.083144516
304,433,4,46,development,0.014444992,0.033007503,0.022365004,0.19875,0.082397506,0.037627503,0.797707,-0.41384858,-0.42797107,-0.3410282
583,93,5,81,outer_proxy_test,0.06261125,0.1034075,0.12142001,0.22686875,0.238075,0.175045,0.3027624,0.024102386,-0.39436132,0.10788553
545,79,2,81,outer_proxy_test,0.10541499,0.15365,0.19171,0.2509175,0.3120225,0.29658127,0.13376372,0.10854623,-0.34009418,0.17138243
59,505,5,7,outer_proxy_test,0.016424999,0.020494998,0.016534999,0.034052506,0.018350005,0.009687498,0.3462813,-0.29965168,0.055219263,-0.18266216
636,212,1,93,development,0.08916251,0.1303025,0.15076251,0.24539001,0.2669775,0.22201501,0.23886633,0.0421328,-0.34402686,0.11057861
606,11,2,90,development,0.04772,0.06774001,0.0756325,0.0974675,0.1278,0.1036825,0.12614095,0.13465105,-0.30714938,0.16707304
516,110,2,71,development,0.08389625,0.12648001,0.1518625,0.21960875,0.24064624,0.20027626,0.1823728,0.045708336,-0.31097266,0.12787642
384,464,4,56,outer_proxy_test,0.008395001,0.016342506,0.010539994,0.0708475,0.028194994,0.013235003,0.7409923,-0.43064854,-0.26612377,-0.3433495
511,125,1,71,development,0.06017749,0.08968501,0.1033525,0.16063501,0.16704251,0.14957999,0.21698946,0.019554283,-0.30132142,0.10094005
451,516,4,67,development,0.014541246,0.032086246,0.022722498,0.16345374,0.07630624,0.0383425,0.75590336,-0.3634781,-0.4079618,-0.28505233
295,277,3,44,development,0.048352502,0.07935876,0.08705875,0.2549325,0.1909125,0.1244725,0.49087146,-0.14359249,-0.41274735,-0.04355004
174,142,1,22,development,0.088915005,0.129725,0.1531275,0.24159501,0.25652748,0.2254525,0.22412582,0.029977502,-0.32828915,0.1069288
645,23,2,90,development,0.07461499,0.11677249,0.13673751,0.22462751,0.2476175,0.2088425,0.24321668,0.048682332,-0.3590796,0.124506764
626,106,2,91,development,0.14060125,0.20943375,0.270635,0.35173252,0.4298463,0.39714876,0.13030486,0.099943556,-0.34478247,0.17450109
182,355,5,25,development,0.06962375,0.1119875,0.12797874,0.34516004,0.29933125,0.20379625,0.4590224,-0.07110847,-0.45547095,0.014875082
446,188,1,62,development,0.06958249,0.09896624,0.1122075,0.19276875,0.21050625,0.17741,0.2641558,0.043983616,-0.36041975,0.10317227
544,127,5,81,outer_proxy_test,0.033722498,0.057853743,0.0544025,0.161735,0.14859,0.0915,0.4965936,-0.042358816,-0.43952048,0.018910807
619,144,2,92,development,0.11960499,0.1757875,0.2228675,0.2978325,0.37013,0.34252,0.14396964,0.10823589,-0.35599244,0.17374694
34,156,3,2,outer_proxy_test,0.059984997,0.09947501,0.1199625,0.2403575,0.23087,0.1908025,0.33413357,-0.020133609,-0.39775077,0.07753675
597,97,2,81,outer_proxy_test,0.12066375,0.17786375,0.22796875,0.28224,0.40494502,0.33259252,0.10637068,0.17856182,-0.38963258,0.22205652
610,179,1,92,development,0.0940025,0.14108251,0.167785,0.2589475,0.30294752,0.26629,0.21362913,0.078306496,-0.36453617,0.14299507
427,503,4,67,development,0.033915,0.062267497,0.05364625,0.2753925,0.17664,0.098333746,0.6739214,-0.21846327,-0.47873133,-0.14644584
585,139,5,82,development,0.08378625,0.12960126,0.15473625,0.2521825,0.2984375,0.23729126,0.2394735,0.08400529,-0.3944415,0.14852196
155,287,5,24,development,0.07412,0.1120425,0.1248575,0.30418503,0.3161475,0.23540749,0.41797146,0.019283969,-0.47666925,0.076527774
287,69,1,41,development,0.08281,0.118862495,0.13596751,0.20485501,0.23659001,0.209145,0.20212133,0.071888916,-0.33120462,0.12858166
544,272,2,84,development,0.10360001,0.14187999,0.16555749,0.2164325,0.31920004,0.3017925,0.13318413,0.19186202,-0.38457543,0.20468076
145,254,5,23,development,0.06707999,0.1070925,0.12293249,0.272505,0.26113376,0.18011875,0.37824562,-0.021308845,-0.41833317,0.061467838
221,283,3,34,development,0.06991251,0.10808249,0.1240875,0.23725002,0.2611475,0.2097225,0.31317678,0.04794864,-0.41455197,0.11275674
616,146,2,92,development,0.1298625,0.18923499,0.2407425,0.30781502,0.38064876,0.35350627,0.122270696,0.10579169,-0.33588213,0.1734673
596,141,2,82,development,0.12355125,0.1904725,0.25425875,0.33460003,0.4836775,0.41474876,0.13643557,0.18218449,-0.4349255,0.23391679
508,148,3,72,development,0.070655,0.10612999,0.120677486,0.25265002,0.25155002,0.18909751,0.3535034,-0.002181681,-0.4065646,0.07033817
135,440,4,26,development,0.014802501,0.019449994,0.016177505,0.0503325,0.023354992,0.012024999,0.5135317,-0.36610702,-0.09122765,-0.24460797
82,538,5,18,development,0.06503126,0.10072625,0.108646244,0.30198503,0.26319626,0.18348749,0.47083306,-0.068630666,-0.44644123,0.006531989
16,172,3,2,outer_proxy_test,0.077942505,0.11209749,0.13351999,0.2449225,0.25256753,0.21684499,0.29437104,0.015367193,-0.38520294,0.08917738
555,376,4,85,outer_proxy_test,0.025981247,0.05356376,0.041051246,0.28497624,0.148315,0.073886245,0.7481731,-0.31540275,-0.46934724,-0.24302511
219,584,6,38,development,0.03859,0.0635875,0.030725002,0.024867505,0.015324995,0.010622501,-0.105364874,-0.23742017,0.6115952,-0.15896177
40,426,4,6,development,0.04299,0.073515,0.074807495,0.24264002,0.18351501,0.123455,0.5286938,-0.1387406,-0.42796564,-0.050202012
386,484,4,57,development,0.013702497,0.024207503,0.02143,0.07637499,0.051570013,0.034465,0.56178105,-0.1938722,-0.3610901,-0.10472
618,109,2,91,development,0.1492775,0.21817875,0.27689123,0.36370876,0.45166752,0.4197125,0.13552535,0.10787504,-0.34857067,0.17363249
379,259,5,53,outer_proxy_test,0.08113249,0.11746,0.14220999,0.28796,0.30638504,0.21910001,0.33881953,0.031000592,-0.44574082,0.097228564
351,548,4,58,development,0.011529997,0.019229993,0.015049994,0.066750005,0.035812497,0.019724995,0.6320295,-0.3016454,-0.30126733,-0.21230434
277,54,3,40,development,0.052889988,0.08071999,0.071892485,0.2953025,0.19740249,0.124445006,0.60842335,-0.19869906,-0.41953638,-0.12777188
23,228,3,3,development,0.065333754,0.10833,0.124871254,0.26932874,0.2516875,0.1926175,0.36645734,-0.0338593,-0.39819595,0.058907486
343,326,1,54,development,0.051460013,0.079537496,0.086412504,0.19066499,0.16924249,0.13101749,0.3762575,-0.059522256,-0.3605796,0.027180655
519,371,5,75,development,0.04376,0.069898754,0.07644375,0.28965124,0.22483374,0.13407,0.582383,-0.12598522,-0.52568,-0.05062916
498,574,4,78,development,0.009247504,0.0144724995,0.009398751,0.05339876,0.018253751,0.008601248,0.7006649,-0.49049234,-0.11554185,-0.3875331
118,263,2,13,development,0.0797575,0.123083755,0.148865,0.17629625,0.21311875,0.1906925,0.084361985,0.0945585,-0.26779988,0.17139737
520,401,5,75,development,0.047004998,0.07224999,0.08292,0.25520748,0.2241325,0.13673751,0.50953406,-0.0648287,-0.5124544,0.007944025
372,233,3,53,outer_proxy_test,0.047623754,0.0806375,0.08538124,0.2395325,0.196935,0.12847376,0.4744375,-0.09759605,-0.4189806,-0.008499122
