component_id,component_name,Full integrated context,Primary local priority,Landscape only,Terrain only,Climate only,Leave climate out,Leave landscape out,Leave terrain out,Leave NDVI out,Leave MNDWI out,Leave NDBI out,Leave slope out,Leave terrain wetness out,Leave drainage proximity out
139-001,Khanpur Cave,14.0,14.0,14.0,12.0,9.0,14.0,12.0,14.0,14.0,8.0,14.0,16.0,11.0,15.0
139-003,Bhir Mound,17.0,17.0,16.0,14.0,9.0,17.0,14.0,16.0,17.0,4.0,17.0,17.0,17.0,16.0
139-004,Sirkap (fortified city),12.0,12.0,1.0,15.0,9.0,12.0,15.0,1.0,12.0,3.0,12.0,10.0,12.0,7.0
139-005,Sirsukh (fortified ruined city),9.0,9.0,3.0,12.0,9.0,9.0,12.0,3.0,9.0,14.0,11.0,1.0,13.0,1.0
139-006,Dharmarajika stupa and monastery,5.0,5.0,5.0,8.0,9.0,5.0,8.0,5.0,4.0,7.0,6.0,2.0,9.0,3.0
139-007,Khader Mohra (Akhuri),6.0,6.0,8.0,6.0,9.0,6.0,6.0,8.0,6.0,11.0,5.0,11.0,4.0,13.0
139-008,Kalawan group of buildings,7.0,7.0,2.0,9.0,9.0,7.0,9.0,2.0,8.0,10.0,7.0,6.0,8.0,9.0
139-009,Giri complex of monuments,1.0,1.0,9.0,2.0,9.0,1.0,2.0,9.0,1.0,13.0,1.0,4.0,2.0,8.0
139-010,Kunala stupa and monastery,10.5,10.5,6.0,10.0,9.0,10.5,10.0,6.0,10.0,6.0,10.0,14.0,6.5,2.0
139-011,Jandial complex,16.0,16.0,17.0,12.0,9.0,16.0,12.0,17.0,16.0,5.0,16.0,15.0,15.0,17.0
139-012,Lalchak and Badalpur Buddhist stuppa,15.0,15.0,12.0,17.0,9.0,15.0,17.0,12.0,15.0,17.0,15.0,13.0,16.0,14.0
139-013,Mohra Moradu stupa and monastery,4.0,4.0,10.0,5.0,9.0,4.0,5.0,10.0,5.0,9.0,4.0,12.0,5.0,10.0
139-014,Pippala stupa and monastery,10.5,10.5,13.0,7.0,9.0,10.5,7.0,13.0,11.0,2.0,9.0,8.0,6.5,12.0
139-015,Jaulian stupa and monastery,3.0,3.0,7.0,4.0,9.0,3.0,4.0,7.0,2.0,12.0,3.0,5.0,3.0,11.0
139-016,Lalchak mounds,13.0,13.0,4.0,16.0,9.0,13.0,16.0,4.0,13.0,16.0,13.0,7.0,14.0,5.5
139-017,Buddhist remains around Bhallar stupa,8.0,8.0,15.0,1.0,9.0,8.0,1.0,15.0,7.0,1.0,8.0,3.0,10.0,5.5
139-018,Giri Mosque and tombs,2.0,2.0,11.0,3.0,9.0,2.0,3.0,11.0,3.0,15.0,2.0,9.0,1.0,4.0
