component_id,component_name,rank_250m,score_250m,rank_500m,score_500m,rank_1000m,score_1000m
139-001,Khanpur Cave,15.0,0.4,14.0,0.4308823529411765,11.0,0.4666666666666667
139-003,Bhir Mound,14.0,0.4117647058823529,17.0,0.3397058823529412,17.0,0.3083333333333333
139-004,Sirkap (fortified city),10.0,0.4735294117647058,12.0,0.4799019607843137,15.0,0.3950980392156862
139-005,Sirsukh (fortified ruined city),8.0,0.4789215686274509,9.0,0.5014705882352941,10.0,0.4852941176470587
139-006,Dharmarajika stupa and monastery,3.0,0.5205882352941177,5.0,0.5362745098039217,6.0,0.5387254901960784
139-007,Khader Mohra (Akhuri),7.0,0.4818627450980391,6.0,0.5352941176470587,3.0,0.5754901960784313
139-008,Kalawan group of buildings,12.0,0.4534313725490196,7.0,0.5191176470588235,9.0,0.5127450980392156
139-009,Giri complex of monuments,4.0,0.5078431372549019,1.0,0.5911764705882352,2.0,0.5784313725490196
139-010,Kunala stupa and monastery,5.0,0.4936274509803922,10.5,0.5009803921568627,13.0,0.4411764705882353
139-011,Jandial complex,16.0,0.3568627450980392,16.0,0.3485294117647058,16.0,0.3936274509803921
139-012,Lalchak and Badalpur Buddhist stuppa,17.0,0.3186274509803922,15.0,0.392156862745098,12.0,0.4549019607843137
139-013,Mohra Moradu stupa and monastery,11.0,0.4642156862745097,4.0,0.5392156862745099,5.0,0.5431372549019609
139-014,Pippala stupa and monastery,6.0,0.4892156862745098,10.5,0.5009803921568627,8.0,0.536764705882353
139-015,Jaulian stupa and monastery,2.0,0.567156862745098,3.0,0.5676470588235294,1.0,0.5931372549019608
139-016,Lalchak mounds,13.0,0.4377450980392157,13.0,0.446078431372549,14.0,0.4294117647058824
139-017,Buddhist remains around Bhallar stupa,9.0,0.4784313725490196,8.0,0.517156862745098,7.0,0.5372549019607843
139-018,Giri Mosque and tombs,1.0,0.6220588235294118,2.0,0.5725490196078431,4.0,0.5686274509803921
