year,valid_days,missing_weather_values,precipitation_sum_mm,precipitation_mean_mm_day,rx1day_mm,rx5day_mm,wet_days_ge1mm,heavy_precipitation_days,consecutive_wet_days,consecutive_dry_days,temperature_mean_c,tmax_mean_c,tmin_mean_c,annual_or_period_max_tmax_c,hot_days,heatwave_max_days,relative_humidity_mean_percent,dew_point_mean_c,soil_moisture_mean_m3m3,et0_sum_mm
1991,365,0,1496.9499999999998,4.101232876712328,152.2,231.29999999999998,120,12,9,44,19.013561643835615,24.605479452054794,13.497260273972604,40.225,15,9,68.46164383561644,12.254041095890411,0.31267671232876715,1298.4475000000002
1992,366,0,1596.5,4.362021857923497,204.45,221.6,118,9,10,23,18.89351092896175,24.54849726775956,13.412841530054646,38.875,10,5,69.74521857923497,12.43025956284153,0.31627322404371583,1292.5025
1993,365,0,1050.4,2.8778082191780823,69.5,144.55,92,8,6,31,19.61554794520548,25.686095890410957,13.603150684931508,41.3,16,8,64.7931506849315,11.79609589041096,0.2803938356164384,1407.2375
1994,365,0,1242.35,3.403698630136986,149.0,175.45,127,6,10,39,19.06404109589041,24.766643835616442,13.51027397260274,41.3,14,8,68.07876712328768,12.143219178082193,0.3047212328767123,1284.7725
1995,365,0,1298.25,3.5568493150684932,76.85,145.25,122,11,15,37,18.913150684931505,24.693904109589035,13.333493150684932,42.099999999999994,15,14,67.19246575342466,11.774726027397259,0.3038349315068493,1312.5825
1996,366,0,1310.3,3.580054644808743,52.85,142.9,130,7,28,24,18.901502732240438,24.721789617486337,13.357923497267759,37.925,3,1,68.39002732240438,12.205669398907103,0.31395491803278686,1311.685
1997,365,0,1168.4499999999998,3.201232876712328,132.1,190.1,129,8,9,17,18.662123287671232,24.099520547945207,13.281369863013701,38.825,7,3,69.78767123287672,12.326575342465754,0.3028438356164383,1248.5175
1998,365,0,1119.9,3.068219178082192,55.1,139.4,116,5,10,76,19.84,25.650753424657534,14.198904109589042,40.0,13,9,67.03835616438356,12.598287671232876,0.2857746575342465,1354.7450000000001
1999,365,0,904.5,2.478082191780822,49.7,100.85000000000001,116,3,10,37,20.528698630136986,26.470821917808216,14.718561643835615,41.4,13,4,62.74246575342466,11.911027397260273,0.2773335616438356,1454.9975
2000,366,0,618.05,1.6886612021857923,58.0,99.55,99,1,8,67,20.898497267759563,26.991393442622947,14.787226775956285,41.25,32,8,57.29371584699454,10.600478142076502,0.23036475409836066,1525.1425000000002
2001,365,0,790.25,2.165068493150685,51.5,97.4,99,3,9,42,20.817328767123286,26.916301369863017,14.792534246575343,42.05,21,6,58.96849315068493,11.043082191780822,0.23870342465753422,1481.4725
2002,365,0,839.8000000000002,2.3008219178082197,66.9,84.15000000000002,89,5,18,31,20.918356164383564,26.98856164383562,14.858287671232876,42.875,38,12,59.12465753424657,11.096232876712328,0.24233835616438354,1507.4375
2003,365,0,1169.05,3.202876712328767,98.7,228.9,117,6,7,29,19.90568493150685,25.814931506849316,14.137260273972604,41.975,20,12,64.36575342465754,11.757602739726028,0.2853267123287671,1410.9
2004,366,0,891.45,2.435655737704918,79.95,133.15,98,6,9,26,20.894467213114755,26.99877049180328,14.884084699453554,39.625,22,5,60.66120218579235,11.660177595628415,0.2589986338797814,1501.8125
2005,365,0,953.6999999999999,2.612876712328767,51.4,132.4,121,3,14,33,19.70958904109589,25.620068493150686,13.928013698630135,42.925,15,12,62.93082191780822,11.247808219178085,0.2758458904109589,1398.4225
