variable,temporal_scale,comparison_subset,n,pearson_r,spearman_rho,mean_bias_open_minus_nasa,rmse,mae
precipitation_sum,daily,full_record,12784,0.2972505124684047,0.6817356812109422,-0.025232321652064987,11.825819013078972,3.0291184292866085
temperature_2m_mean,daily,full_record,12784,0.9791041651564129,0.9734195135274452,-2.502920056320401,3.0101318642139576,2.5623889236545683
temperature_2m_max,daily,full_record,12784,0.9537229764709433,0.9475664278160607,-3.535467381101377,4.277895263930421,3.6669489205256576
temperature_2m_min,daily,full_record,12784,0.9792116298707654,0.9730099501292784,-2.319334324155194,2.813871442152244,2.4022105757196495
relative_humidity_2m_mean,daily,full_record,12784,0.6838871926314791,0.675294672045514,16.162040832290362,21.240585349668645,17.3943390175219
precipitation_sum,annual,full_record,35,0.10581820318056594,0.08263305322128851,-9.216285714285712,646.739417250653,431.9134285714286
temperature_2m_mean,annual,full_record,35,0.38567158295414883,0.44257703081232497,-2.5029874413183197,2.686980979760758,2.5029874413183197
temperature_2m_max,annual,full_record,35,0.5173041655826726,0.6526552028714352,-4.473285714285716,4.775964001419729,4.544142857142859
precipitation_sum,daily_DJF,full_record,3159,0.2537332941490798,0.6937409870990167,0.584732510288066,12.193336366921283,2.062909148464704
temperature_2m_mean,daily_DJF,full_record,3159,0.8893486459681497,0.8792231823119542,-2.141497309275087,2.4603659840686074,2.178414055080722
temperature_2m_max,daily_DJF,full_record,3159,0.8830220370705875,0.8820714048232772,-3.221331117442229,3.6117927726115044,3.268102247546692
temperature_2m_min,daily_DJF,full_record,3159,0.8124917767361449,0.8065906549926448,-2.6700743906299467,3.134960988158803,2.7522902817347266
relative_humidity_2m_mean,daily_DJF,full_record,3159,0.686365570514824,0.6464857914416835,21.26027223805002,24.92607342467461,21.465679012345674
precipitation_sum,daily_JJ,full_record,1050,0.11229219815137116,0.5314765580579727,-0.9571428571428571,18.57316025113351,3.4603619047619043
temperature_2m_mean,daily_JJ,full_record,1050,0.7537560533298239,0.7193493891399313,-3.536552380952381,4.027569147524998,3.590266666666667
temperature_2m_max,daily_JJ,full_record,1050,0.7704381199240651,0.761216859859691,-4.59605238095238,5.201490782183782,4.694738095238096
temperature_2m_min,daily_JJ,full_record,1050,0.6964310709034063,0.667303472804127,-2.949552380952381,3.4592699408704037,3.007142857142857
relative_humidity_2m_mean,daily_JJ,full_record,1050,0.6582561816108826,0.6595331757237944,14.622171428571429,19.768711232893352,16.356933333333334
precipitation_sum,daily_MAM,full_record,3220,0.36356494120496147,0.5849692790274492,0.6214472049689442,9.37843103923913,2.507291925465839
temperature_2m_mean,daily_MAM,full_record,3220,0.9676964565409151,0.9697760999954247,-2.8670015527950308,3.261206863973417,2.8872065217391305
temperature_2m_max,daily_MAM,full_record,3220,0.9479208696172418,0.949324341540813,-4.132931677018634,4.659889640284127,4.178472049689441
