model,bin_left,bin_right,count,accuracy,mean_confidence,ece
Regularised multinomial logistic,0.0,0.1,0,,,0.03457237965851813
Regularised multinomial logistic,0.1,0.2,0,,,0.03457237965851813
Regularised multinomial logistic,0.2,0.30000000000000004,1,0.0,0.2966666790445282,0.03457237965851813
Regularised multinomial logistic,0.30000000000000004,0.4,31,0.3548387096774194,0.372385032825269,0.03457237965851813
Regularised multinomial logistic,0.4,0.5,215,0.44651162790697674,0.46329454328989106,0.03457237965851813
Regularised multinomial logistic,0.5,0.6000000000000001,579,0.5820379965457686,0.5512374008413903,0.03457237965851813
Regularised multinomial logistic,0.6000000000000001,0.7000000000000001,589,0.7045840407470289,0.6513261259277121,0.03457237965851813
Regularised multinomial logistic,0.7000000000000001,0.8,613,0.8107667210440457,0.7517086014476655,0.03457237965851813
Regularised multinomial logistic,0.8,0.9,717,0.9135285913528591,0.8495478104853385,0.03457237965851813
Regularised multinomial logistic,0.9,1.0,1443,0.9708939708939709,0.964614766063816,0.03457237965851813
Random forest,0.0,0.1,0,,,0.015829436876950393
Random forest,0.1,0.2,0,,,0.015829436876950393
Random forest,0.2,0.30000000000000004,0,,,0.015829436876950393
Random forest,0.30000000000000004,0.4,32,0.4375,0.3668114389307469,0.015829436876950393
Random forest,0.4,0.5,159,0.4779874213836478,0.4601465702574156,0.015829436876950393
Random forest,0.5,0.6000000000000001,402,0.5845771144278606,0.5515428285000461,0.015829436876950393
Random forest,0.6000000000000001,0.7000000000000001,386,0.6787564766839378,0.6498118113604018,0.015829436876950393
Random forest,0.7000000000000001,0.8,548,0.7481751824817519,0.7544038376136474,0.015829436876950393
Random forest,0.8,0.9,851,0.8260869565217391,0.8540287925111333,0.015829436876950393
Random forest,0.9,1.0,1810,0.961878453038674,0.9671550956686529,0.015829436876950393
Extra trees,0.0,0.1,0,,,0.016948474672471448
Extra trees,0.1,0.2,0,,,0.016948474672471448
Extra trees,0.2,0.30000000000000004,0,,,0.016948474672471448
Extra trees,0.30000000000000004,0.4,46,0.45652173913043476,0.3757299866256983,0.016948474672471448
Extra trees,0.4,0.5,190,0.5105263157894737,0.4615021730998117,0.016948474672471448
Extra trees,0.5,0.6000000000000001,456,0.5855263157894737,0.5503577808342022,0.016948474672471448
Extra trees,0.6000000000000001,0.7000000000000001,451,0.6873614190687362,0.6501158011691183,0.016948474672471448
Extra trees,0.7000000000000001,0.8,621,0.7777777777777778,0.7508240933161557,0.016948474672471448
Extra trees,0.8,0.9,808,0.8551980198019802,0.8498175471767538,0.016948474672471448
Extra trees,0.9,1.0,1616,0.9696782178217822,0.9671850750879486,0.016948474672471448
Histogram gradient boosting,0.0,0.1,0,,,0.04068326513479922
Histogram gradient boosting,0.1,0.2,0,,,0.04068326513479922
Histogram gradient boosting,0.2,0.30000000000000004,0,,,0.04068326513479922
Histogram gradient boosting,0.30000000000000004,0.4,16,0.5625,0.37619833878172104,0.04068326513479922
Histogram gradient boosting,0.4,0.5,96,0.4166666666666667,0.46438619070702886,0.04068326513479922
Histogram gradient boosting,0.5,0.6000000000000001,297,0.48484848484848486,0.5488655250039902,0.04068326513479922
Histogram gradient boosting,0.6000000000000001,0.7000000000000001,308,0.6168831168831169,0.6544153735040708,0.04068326513479922
Histogram gradient boosting,0.7000000000000001,0.8,411,0.7031630170316302,0.7540019652707715,0.04068326513479922
Histogram gradient boosting,0.8,0.9,633,0.7977883096366508,0.854925261081691,0.04068326513479922
Histogram gradient boosting,0.9,1.0,2427,0.9414915533580552,0.9724697649529195,0.04068326513479922
MLP sensitivity,0.0,0.1,0,,,0.014280458545848276
MLP sensitivity,0.1,0.2,0,,,0.014280458545848276
MLP sensitivity,0.2,0.30000000000000004,0,,,0.014280458545848276
MLP sensitivity,0.30000000000000004,0.4,27,0.3333333333333333,0.37058694255965235,0.014280458545848276
MLP sensitivity,0.4,0.5,121,0.4297520661157025,0.4680972529218656,0.014280458545848276
MLP sensitivity,0.5,0.6000000000000001,334,0.5299401197604791,0.5517536688822089,0.014280458545848276
MLP sensitivity,0.6000000000000001,0.7000000000000001,365,0.6575342465753424,0.6507158358178183,0.014280458545848276
MLP sensitivity,0.7000000000000001,0.8,458,0.7292576419213974,0.7522175948872227,0.014280458545848276
MLP sensitivity,0.8,0.9,735,0.8476190476190476,0.8543552292521863,0.014280458545848276
MLP sensitivity,0.9,1.0,2148,0.9562383612662942,0.9697019311198777,0.014280458545848276
