epoch_id,item_id,acquisition_datetime_utc,acquisition_date,platform,local_valid_percent
E2004,LE07_L2SP_150037_20031013_02_T1,2003-10-13T05:30:29.825051Z,2003-10-13,landsat-7,90.04510756419153
E2004,LE07_L2SP_150037_20031029_02_T1,2003-10-29T05:30:47.343006Z,2003-10-29,landsat-7,92.09229701596114
E2004,LE07_L2SP_150037_20041015_02_T1,2004-10-15T05:30:59.000268Z,2004-10-15,landsat-7,49.81089521165857
E2004,LE07_L2SP_150037_20041031_02_T1,2004-10-31T05:31:13.761276Z,2004-10-31,landsat-7,91.30093189253495
E2004,LE07_L2SP_150037_20041116_02_T1,2004-11-16T05:31:18.991178Z,2004-11-16,landsat-7,89.97100228016258
E2004,LE07_L2SP_150037_20041202_02_T1,2004-12-02T05:31:30.002761Z,2004-12-02,landsat-7,84.93010805987905
E2004,LE07_L2SP_150037_20051002_02_T1,2005-10-02T05:31:26.748326Z,2005-10-02,landsat-7,92.73123822742143
E2004,LE07_L2SP_150037_20051018_02_T1,2005-10-18T05:31:32.605284Z,2005-10-18,landsat-7,89.99504312481412
E2004,LE07_L2SP_150037_20051103_02_T1,2005-11-03T05:31:45.011742Z,2005-11-03,landsat-7,89.41161891543571
E2004,LE07_L2SP_150037_20051119_02_T1,2005-11-19T05:31:53.807037Z,2005-11-19,landsat-7,77.86185188856945
E2004,LE07_L2SP_150037_20051205_02_T1,2005-12-05T05:31:58.760448Z,2005-12-05,landsat-7,71.09794785367305
E2009,LE07_L2SP_150037_20081010_02_T1,2008-10-10T05:30:57.642641Z,2008-10-10,landsat-7,89.9918211559433
E2009,LE07_L2SP_150037_20081026_02_T1,2008-10-26T05:31:14.238468Z,2008-10-26,landsat-7,88.61777535441658
E2009,LE07_L2SP_150037_20081127_02_T1,2008-11-27T05:31:40.993479Z,2008-11-27,landsat-7,88.71096460791117
E2009,LE07_L2SP_150037_20081213_02_T1,2008-12-13T05:31:51.060956Z,2008-12-13,landsat-7,91.4679785862992
E2009,LE07_L2SP_150037_20091013_02_T1,2009-10-13T05:32:28.709317Z,2009-10-13,landsat-7,89.54173688906513
E2009,LE07_L2SP_150037_20091029_02_T1,2009-10-29T05:32:44.915635Z,2009-10-29,landsat-7,88.67453157529494
E2009,LE07_L2SP_150037_20091114_02_T1,2009-11-14T05:32:58.720375Z,2009-11-14,landsat-7,85.2495786656092
E2009,LE07_L2SP_150037_20101016_02_T1,2010-10-16T05:34:46.160722Z,2010-10-16,landsat-7,89.9828987806087
E2009,LE07_L2SP_150037_20101101_02_T1,2010-11-01T05:34:54.409002Z,2010-11-01,landsat-7,89.02101715078814
E2009,LE07_L2SP_150037_20101203_02_T1,2010-12-03T05:35:18.263124Z,2010-12-03,landsat-7,83.5275602260335
E2014,LC08_L2SP_150037_20131016_02_T1,2013-10-16T05:44:14.145667Z,2013-10-16,landsat-8,96.74184594031922
E2014,LC08_L2SP_150037_20131117_02_T1,2013-11-17T05:44:03.264130Z,2013-11-17,landsat-8,92.9314959849311
E2014,LC08_L2SP_150037_20131203_02_T1,2013-12-03T05:44:00.100354Z,2013-12-03,landsat-8,47.684395756914846
E2014,LC08_L2SP_150037_20141120_02_T1,2014-11-20T05:42:32.227118Z,2014-11-20,landsat-8,87.23728561514821
E2014,LC08_L2SP_150037_20141206_02_T1,2014-12-06T05:42:31.933279Z,2014-12-06,landsat-8,77.54783384554376
E2014,LC08_L2SP_150037_20151006_02_T1,2015-10-06T05:42:23.834857Z,2015-10-06,landsat-8,41.49400218102508
E2014,LC08_L2SP_150037_20151022_02_T1,2015-10-22T05:42:26.577845Z,2015-10-22,landsat-8,86.71036978288886
E2014,LC08_L2SP_150037_20151123_02_T1,2015-11-23T05:42:31.676914Z,2015-11-23,landsat-8,53.3924853772182
E2019,LC08_L2SP_150037_20181014_02_T1,2018-10-14T05:42:12.673254Z,2018-10-14,landsat-8,53.01328442549816
