year,precipitation_sum_open,precipitation_sum_nasa,temperature_2m_mean_open,temperature_2m_mean_nasa,temperature_2m_max_open,temperature_2m_max_nasa
1991,1496.95,514.07,19.013561643835615,23.10241095890411,40.225,46.54
1992,1596.5,979.01,18.89351092896175,21.820628415300547,38.875,45.13
1993,1050.4,650.11,19.61554794520548,23.151671232876716,41.3,47.13
1994,1242.35,946.25,19.06404109589041,22.479232876712327,41.3,47.53
1995,1298.25,1345.55,18.91315068493151,21.42731506849315,42.099999999999994,47.26
1996,1310.3,938.96,18.901502732240438,22.125,37.925,45.71
1997,1168.45,343.67,18.662123287671232,23.058739726027397,38.825,45.82
1998,1119.9,441.65,19.84,23.941972602739725,40.0,46.02
1999,904.5,332.85,20.528698630136986,24.80191780821918,41.4,46.58
2000,618.05,278.62,20.898497267759563,24.49879781420765,41.25,45.85
2001,790.25,422.01,20.817328767123286,24.112849315068495,42.05,46.77
2002,839.8,423.05,20.91835616438356,24.502164383561645,42.875,47.02
2003,1169.05,794.35,19.905684931506848,22.757397260273976,41.975,46.7
2004,891.45,475.0,20.894467213114755,24.376120218579235,39.625,44.48
2005,953.7,840.89,19.70958904109589,22.32268493150685,42.925,47.26
2006,826.2,1117.49,21.109931506849314,22.736986301369864,41.025,45.5
2007,1005.75,1127.96,20.71171232876712,22.36895890410959,43.325,48.22
2008,988.6,1038.81,20.443032786885244,22.521284153005467,39.1,42.28
2009,707.0,646.94,20.79294520547945,23.18813698630137,42.725,46.95
2010,882.5,937.93,21.460479452054795,23.30668493150685,42.6,46.5
2011,878.1,823.2,20.555410958904112,22.641205479452058,40.15,45.07
2012,861.05,833.8,20.30532786885246,22.043715846994534,43.05,46.12
2013,1062.7,990.53,20.393424657534247,22.19750684931507,41.724999999999994,46.18
2014,1117.05,889.54,19.833219178082192,22.282438356164384,40.325,45.56
2015,1310.55,1127.14,19.843082191780823,22.325424657534246,39.175,44.38
2016,698.95,929.1899999999999,21.456898907103827,23.709344262295083,40.2,45.66
2017,908.2,913.51,20.88205479452055,23.10561643835616,44.25,47.38
2018,900.0,899.26,20.659383561643835,22.807945205479452,41.125,45.51
2019,914.1999999999999,1027.01,20.11609589041096,21.83490410958904,41.3,45.49
2020,1258.3,3829.18,19.56912568306011,20.39054644808743,39.2,37.96
2021,754.2,1920.54,20.47876712328767,21.727205479452056,42.65,43.46
2022,771.4,1678.04,21.11472602739726,22.030465753424657,41.1,44.27
2023,794.5,1387.46,20.445342465753424,21.531041095890412,40.55,42.79
2024,890.25,1822.61,20.689139344262298,22.23150273224044,41.025,46.2
2025,898.75,1534.54,21.091643835616438,22.67254794520548,43.525,46.06
