start_year,end_year,metric,n,effective_n_lag1,theil_sen_slope_per_year,theil_sen_intercept,scipy_slope_ci_low_95,scipy_slope_ci_high_95,moving_block_slope_ci_low_95,moving_block_slope_ci_high_95,kendall_tau,kendall_p_unadjusted,moving_block_p_two_sided,bootstrap_draws,block_length_years,status
1991,2020,precipitation_sum_mm,30,13.60202197664595,-10.635000000000014,22299.64250000003,-21.426470588235286,0.6149999999999863,-21.317309895833418,0.037995370370335825,-0.22298850574712642,0.08679932291732613,0.05147426286856572,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1991,2020,temperature_mean_c,30,11.10138728686971,0.04489041095890371,-69.67834291488805,0.001997950819672134,0.07964383561643835,0.0022454842414083268,0.08120353319859132,0.2597701149425288,0.045006516459895264,0.0239880059970015,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1991,2020,rx1day_mm,30,16.953603968577344,-0.16111111111111143,396.483333333334,-1.6428571428571428,1.6192307692307684,-1.564959463051569,1.3622123015873007,-0.03448275862068966,0.8044644884091301,0.5952023988005997,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1991,2020,consecutive_dry_days,30,53.926538372898754,0.0,33.5,-0.6,0.7142857142857143,-0.36363636363636365,0.3076923076923077,-0.009292029144541577,0.9430203821284244,1.0,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1996,2025,precipitation_sum_mm,30,21.327734961742884,-3.400000000000034,7735.075000000069,-11.872222222222213,4.255555555555538,-8.804581818181855,2.5690219155843197,-0.12183908045977011,0.3566550991594864,0.19090454772613694,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1996,2025,temperature_mean_c,30,15.288630093722935,0.013349315068493439,-6.296743150685511,-0.011944475634404483,0.051555279114021524,-0.006975199222865951,0.034491438356164465,0.12183908045977011,0.3566550991594864,0.17791104447776113,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1996,2025,rx1day_mm,30,15.700029829875925,0.08846153846153836,-119.77692307692287,-0.9078947368421053,1.2249999999999992,-1.1432130736910144,1.5177764898145323,0.02528735632183908,0.859648144390884,0.6086956521739131,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1996,2025,consecutive_dry_days,30,52.46004168088103,0.2727272727272727,-513.8181818181818,-0.5454545454545454,0.8333333333333334,-0.18638368983956757,0.6447055785123988,0.10441284941824568,0.42142234860845207,0.17841079460269865,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1991,2025,precipitation_sum_mm,35,17.733210169098335,-10.303703703703693,21598.03703703702,-17.93666666666667,-2.5642857142856883,-17.450987433862526,-2.482106481481233,-0.30084033613445377,0.011020240921748563,0.004497751124437781,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1991,2025,temperature_mean_c,35,13.444130718985189,0.04175342465753417,-63.39553424657518,0.010342465753424629,0.06647260273972606,0.008306733168329956,0.07247024705566807,0.30756302521008405,0.009353334884500302,0.005497251374312844,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1991,2025,rx1day_mm,35,20.094812095860195,-0.623333333333333,1321.1533333333325,-1.843181818181818,0.25555555555555565,-1.5583251879699387,0.450000000000216,-0.15630252100840336,0.1865903464088403,0.15542228885557222,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
1991,2025,consecutive_dry_days,35,62.05589144095539,0.16666666666666666,-299.66666666666663,-0.3157894736842105,0.6666666666666666,-0.13162280701754386,0.4333974358974393,0.08998769120481312,0.45103542070345837,0.2178910544727636,2000,5,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
