component_id,component_name,radius_m,indicator,delta_native,delta_oli_like,same_direction,absolute_delta_difference
139-001,Khanpur Cave,250,NDVI,0.08251433074474335,0.05705396831035614,True,0.025460362434387207
139-001,Khanpur Cave,250,NDBI,-0.058373795822262764,-0.05026069935411215,True,0.008113096468150616
139-001,Khanpur Cave,250,MNDWI,-0.00842447578907013,0.018064498901367188,False,0.026488974690437317
139-001,Khanpur Cave,500,NDVI,0.0949321985244751,0.06526318192481995,True,0.02966901659965515
139-001,Khanpur Cave,500,NDBI,-0.05310755409300327,-0.04414709098637104,True,0.008960463106632233
139-001,Khanpur Cave,500,MNDWI,-0.02967435121536255,0.0002976953983306885,False,0.029972046613693237
139-001,Khanpur Cave,1000,NDVI,0.08468350768089294,0.05458182096481323,True,0.030101686716079712
139-001,Khanpur Cave,1000,NDBI,-0.04847000818699598,-0.03707414853852242,True,0.01139585964847356
139-001,Khanpur Cave,1000,MNDWI,-0.03572726249694824,-0.004386037588119507,True,0.031341224908828735
139-003,Bhir Mound,250,NDVI,0.10729946196079254,0.08339549601078033,True,0.023903965950012207
139-003,Bhir Mound,250,NDBI,-0.06914118770509958,-0.059326360664272215,True,0.009814827040827367
139-003,Bhir Mound,250,MNDWI,-0.03424489498138428,-0.006129458546638489,True,0.02811543643474579
139-003,Bhir Mound,500,NDVI,0.06686338782310486,0.03230677545070648,True,0.034556612372398376
139-003,Bhir Mound,500,NDBI,-0.047183236107230186,-0.03292378084734082,True,0.014259455259889364
139-003,Bhir Mound,500,MNDWI,-0.005625486373901367,0.026116937398910522,False,0.03174242377281189
139-003,Bhir Mound,1000,NDVI,0.07855120301246643,0.04371383786201477,True,0.03483736515045166
139-003,Bhir Mound,1000,NDBI,-0.048762377351522446,-0.03528733644634485,True,0.013475040905177593
139-003,Bhir Mound,1000,MNDWI,-0.008710920810699463,0.023547887802124023,False,0.032258808612823486
139-004,Sirkap (fortified city),250,NDVI,0.14575862884521484,0.11382085084915161,True,0.03193777799606323
139-004,Sirkap (fortified city),250,NDBI,-0.08040173724293709,-0.06998360529541969,True,0.010418131947517395
139-004,Sirkap (fortified city),250,MNDWI,-0.03760084509849548,-0.00979912281036377,True,0.027801722288131714
139-004,Sirkap (fortified city),500,NDVI,0.12262482941150665,0.08679521083831787,True,0.03582961857318878
139-004,Sirkap (fortified city),500,NDBI,-0.06687335763126612,-0.052909729070961475,True,0.013963628560304642
139-004,Sirkap (fortified city),500,MNDWI,-0.03422349691390991,-0.004720017313957214,True,0.029503479599952698
139-004,Sirkap (fortified city),1000,NDVI,0.10245728492736816,0.07071942090988159,True,0.03173786401748657
139-004,Sirkap (fortified city),1000,NDBI,-0.05984136834740639,-0.047284503700211644,True,0.012556864647194743
139-004,Sirkap (fortified city),1000,MNDWI,-0.0262860506772995,0.0037660449743270874,False,0.030052095651626587
139-005,Sirsukh (fortified ruined city),250,NDVI,0.10079769790172577,0.0750856101512909,True,0.025712087750434875
139-005,Sirsukh (fortified ruined city),250,NDBI,-0.059531865641474724,-0.05194330774247646,True,0.0075885578989982605
139-005,Sirsukh (fortified ruined city),250,MNDWI,-0.04359419643878937,-0.014920532703399658,True,0.02867366373538971
139-005,Sirsukh (fortified ruined city),500,NDVI,0.09074273705482483,0.0635657012462616,True,0.027177035808563232
139-005,Sirsukh (fortified ruined city),500,NDBI,-0.04075935482978821,-0.03550783544778824,True,0.0052515193819999695
139-005,Sirsukh (fortified ruined city),500,MNDWI,-0.04332154989242554,-0.012690812349319458,True,0.03063073754310608
139-005,Sirsukh (fortified ruined city),1000,NDVI,0.07970008254051208,0.05264246463775635,True,0.027057617902755737
139-005,Sirsukh (fortified ruined city),1000,NDBI,-0.03249676153063774,-0.027529068291187286,True,0.004967693239450455
139-005,Sirsukh (fortified ruined city),1000,MNDWI,-0.039500683546066284,-0.00822293758392334,True,0.031277745962142944
139-006,Dharmarajika stupa and monastery,250,NDVI,0.096445232629776,0.07349023222923279,True,0.022955000400543213
139-006,Dharmarajika stupa and monastery,250,NDBI,-0.06642253696918488,-0.05805741995573044,True,0.008365117013454437
139-006,Dharmarajika stupa and monastery,250,MNDWI,-0.016445457935333252,0.010755479335784912,False,0.027200937271118164
139-006,Dharmarajika stupa and monastery,500,NDVI,0.13295061886310577,0.10385452210903168,True,0.029096096754074097
139-006,Dharmarajika stupa and monastery,500,NDBI,-0.09001982305198908,-0.0780861135572195,True,0.011933709494769573
139-006,Dharmarajika stupa and monastery,500,MNDWI,-0.023977890610694885,0.003409355878829956,False,0.02738724648952484
139-006,Dharmarajika stupa and monastery,1000,NDVI,0.1651916652917862,0.1346166878938675,True,0.0305749773979187
139-006,Dharmarajika stupa and monastery,1000,NDBI,-0.1034993315115571,-0.09089822275564075,True,0.012601108755916357
139-006,Dharmarajika stupa and monastery,1000,MNDWI,-0.033888086676597595,-0.005499020218849182,True,0.028389066457748413
139-007,Khader Mohra (Akhuri),250,NDVI,0.20353823900222778,0.15863986313343048,True,0.0448983758687973
139-007,Khader Mohra (Akhuri),250,NDBI,-0.11501690186560154,-0.10260171070694923,True,0.012415191158652306
139-007,Khader Mohra (Akhuri),250,MNDWI,-0.050312966108322144,-0.01628609001636505,True,0.03402687609195709
139-007,Khader Mohra (Akhuri),500,NDVI,0.1710658073425293,0.12919855117797852,True,0.04186725616455078
139-007,Khader Mohra (Akhuri),500,NDBI,-0.09131303615868092,-0.07811037078499794,True,0.013202665373682976
139-007,Khader Mohra (Akhuri),500,MNDWI,-0.05248197913169861,-0.0192205011844635,True,0.03326147794723511
139-007,Khader Mohra (Akhuri),1000,NDVI,0.1464824378490448,0.11427512764930725,True,0.03220731019973755
139-007,Khader Mohra (Akhuri),1000,NDBI,-0.08855913393199444,-0.0785397682338953,True,0.010019365698099136
139-007,Khader Mohra (Akhuri),1000,MNDWI,-0.036195337772369385,-0.006851136684417725,True,0.02934420108795166
139-008,Kalawan group of buildings,250,NDVI,0.18244555592536926,0.15787450969219208,True,0.024571046233177185
139-008,Kalawan group of buildings,250,NDBI,-0.12611390138044953,-0.11700764112174511,True,0.009106260258704424
139-008,Kalawan group of buildings,250,MNDWI,-0.023315712809562683,-0.00010371208190917969,True,0.023212000727653503
139-008,Kalawan group of buildings,500,NDVI,0.15168312191963196,0.12252417206764221,True,0.029158949851989746
139-008,Kalawan group of buildings,500,NDBI,-0.10060040280222893,-0.09093236085027456,True,0.009668041951954365
139-008,Kalawan group of buildings,500,MNDWI,-0.021104812622070312,0.0056104958057403564,False,0.02671530842781067
139-008,Kalawan group of buildings,1000,NDVI,0.15666672587394714,0.12391524016857147,True,0.03275148570537567
139-008,Kalawan group of buildings,1000,NDBI,-0.10109119489789009,-0.08773257862776518,True,0.013358616270124912
139-008,Kalawan group of buildings,1000,MNDWI,-0.02968601882457733,-0.001320764422416687,True,0.028365254402160645
139-009,Giri complex of monuments,250,NDVI,0.1263992190361023,0.11275246739387512,True,0.013646751642227173
139-009,Giri complex of monuments,250,NDBI,-0.06983094662427902,-0.07826752960681915,True,0.00843658298254013
139-009,Giri complex of monuments,250,MNDWI,-0.06239897012710571,-0.03126393258571625,True,0.031135037541389465
139-009,Giri complex of monuments,500,NDVI,0.10875222086906433,0.09040546417236328,True,0.01834675669670105
139-009,Giri complex of monuments,500,NDBI,-0.04604834318161011,-0.05411781370639801,True,0.008069470524787903
139-009,Giri complex of monuments,500,MNDWI,-0.05557797849178314,-0.025266632437705994,True,0.03031134605407715
139-009,Giri complex of monuments,1000,NDVI,0.12080299854278564,0.09751242399215698,True,0.023290574550628662
