radius_m,factor_a,factor_b,spearman_rho
250,slope_pressure,slope_pressure,1.0
250,slope_pressure,wetness_pressure,-0.5971797566349956
250,slope_pressure,drainage_proximity_pressure,0.8627450980392157
250,wetness_pressure,slope_pressure,-0.5971797566349956
250,wetness_pressure,wetness_pressure,1.0
250,wetness_pressure,drainage_proximity_pressure,-0.39975482682342617
250,drainage_proximity_pressure,slope_pressure,0.8627450980392157
250,drainage_proximity_pressure,wetness_pressure,-0.39975482682342617
250,drainage_proximity_pressure,drainage_proximity_pressure,1.0
500,slope_pressure,slope_pressure,1.0
500,slope_pressure,wetness_pressure,-0.9028317601373923
500,slope_pressure,drainage_proximity_pressure,0.83752314944908
500,wetness_pressure,slope_pressure,-0.9028317601373923
500,wetness_pressure,wetness_pressure,1.0
500,wetness_pressure,drainage_proximity_pressure,-0.7080549722767763
500,drainage_proximity_pressure,slope_pressure,0.83752314944908
500,drainage_proximity_pressure,wetness_pressure,-0.7080549722767763
500,drainage_proximity_pressure,drainage_proximity_pressure,1.0
1000,slope_pressure,slope_pressure,1.0
1000,slope_pressure,wetness_pressure,-0.9342363761143737
1000,slope_pressure,drainage_proximity_pressure,0.9454324278554036
1000,wetness_pressure,slope_pressure,-0.9342363761143737
1000,wetness_pressure,wetness_pressure,1.0
1000,wetness_pressure,drainage_proximity_pressure,-0.8771525247778393
1000,drainage_proximity_pressure,slope_pressure,0.9454324278554036
1000,drainage_proximity_pressure,wetness_pressure,-0.8771525247778393
1000,drainage_proximity_pressure,drainage_proximity_pressure,1.0
