radius_m,w_lower,w_upper,component_id,component_name
250,0.0,0.2941176470588234,139-015,Jaulian
250,0.2941176470588234,0.730593607305936,139-018,Giri Mosque / tombs
250,0.730593607305936,1.0,139-004,Sirkap
500,0.0,0.1047120418848164,139-017,Bhallar
500,0.1047120418848164,0.7692307692307689,139-009,Giri complex
500,0.7692307692307689,0.7857142857142856,139-008,Kalawan
500,0.7857142857142856,1.0,139-004,Sirkap
1000,0.0,0.7142857142857141,139-015,Jaulian
1000,0.7142857142857141,0.7272727272727274,139-007,Khader Mohra
1000,0.7272727272727274,1.0,139-006,Dharmarajika
