radius_m,component_id,component_name,exact_uniform_top3,total_weight_mass
250,139-001,Khanpur Cave,0.0,1.0
250,139-003,Bhir Mound,0.13043478260869523,1.0
250,139-004,Sirkap,0.40476190476190477,1.0
250,139-005,Sirsukh,0.0,1.0
250,139-006,Dharmarajika,0.3159857046266784,1.0
250,139-007,Khader Mohra,0.0,1.0
250,139-008,Kalawan,0.10864605181112297,1.0
250,139-009,Giri complex,0.0,1.0
250,139-010,Kunala,0.15780245470485033,1.0
250,139-011,Jandial,0.0,1.0
250,139-012,Lalchak / Badalpur,0.0,1.0
250,139-013,Mohra Moradu,0.0,1.0
250,139-014,Pippala,0.3571428571428573,1.0
250,139-015,Jaulian,0.6117647058823528,1.0
250,139-016,Lalchak mounds,0.0,1.0
250,139-017,Bhallar,0.0,1.0
250,139-018,Giri Mosque / tombs,0.9134615384615382,1.0
500,139-001,Khanpur Cave,0.0,1.0
500,139-003,Bhir Mound,0.0,1.0
500,139-004,Sirkap,0.225181598062954,1.0
500,139-005,Sirsukh,0.10112359550561756,1.0
500,139-006,Dharmarajika,0.21926475400894596,1.0
500,139-007,Khader Mohra,0.0,1.0
500,139-008,Kalawan,0.2537313432835817,1.0
500,139-009,Giri complex,0.774818401937046,1.0
500,139-010,Kunala,0.0,1.0
500,139-011,Jandial,0.0,1.0
500,139-012,Lalchak / Badalpur,0.0,1.0
500,139-013,Mohra Moradu,0.0,1.0
500,139-014,Pippala,0.0,1.0
500,139-015,Jaulian,0.44208614721071543,1.0
500,139-016,Lalchak mounds,0.0,1.0
500,139-017,Bhallar,0.30418250950570286,1.0
500,139-018,Giri Mosque / tombs,0.6796116504854365,1.0
1000,139-001,Khanpur Cave,0.0,1.0
1000,139-003,Bhir Mound,0.0,1.0
1000,139-004,Sirkap,0.0,1.0
1000,139-005,Sirsukh,0.030612244897959107,1.0
1000,139-006,Dharmarajika,0.3548387096774194,1.0
1000,139-007,Khader Mohra,0.5438558402084241,1.0
1000,139-008,Kalawan,0.15254237288135586,1.0
1000,139-009,Giri complex,0.6451612903225806,1.0
1000,139-010,Kunala,0.0,1.0
1000,139-011,Jandial,0.0,1.0
1000,139-012,Lalchak / Badalpur,0.0,1.0
1000,139-013,Mohra Moradu,0.0,1.0
1000,139-014,Pippala,0.0,1.0
1000,139-015,Jaulian,0.8474576271186441,1.0
1000,139-016,Lalchak mounds,0.0,1.0
1000,139-017,Bhallar,0.19230769230769265,1.0
1000,139-018,Giri Mosque / tombs,0.23322422258592404,1.0
