inspection_budget_k,component_added,expected_top3_missed,probability_full_coverage,marginal_coverage_gain
1,Giri complex of monuments,2.2666958483690274,0.0,0.0
2,Buddhist remains around Bhallar stupa,1.7323575256763393,0.0,0.0
3,Giri Mosque and tombs,1.2719307610730326,0.17878774937899913,0.17878774937899913
4,Jaulian stupa and monastery,0.8601591470401925,0.517676282393469,0.33888853301446986
5,Sirkap (fortified city),0.6937771799087538,0.5364842454394693,0.018807963046000298
6,Dharmarajika stupa and monastery,0.5303632054320672,0.5955451640225198,0.059060918583050515
7,Kunala stupa and monastery,0.3764546366878056,0.6759087253290059,0.08036356130648614
8,Khader Mohra (Akhuri),0.26967451725635055,0.7628025822247845,0.08689385689577855
9,Mohra Moradu stupa and monastery,0.20891251895031282,0.8193261162001153,0.05652353397533083
10,Sirsukh (fortified ruined city),0.14922882013395114,0.8599171524352487,0.04059103623513338
11,Kalawan group of buildings,0.09328536146164741,0.9093587854717827,0.04944163303653404
12,Pippala stupa and monastery,0.04668716503320308,0.9542772546423818,0.04491846917059905
13,Khanpur Cave,0.0178755720681286,0.9821244279318714,0.027847173289489602
14,Lalchak mounds,0.0022882725143951203,0.9977117274856049,0.015587299553733502
15,Bhir Mound,0.0,1.0,0.0022882725143951177
16,Jandial complex,0.0,1.0,0.0
17,Lalchak and Badalpur Buddhist stuppa,0.0,1.0,0.0
