component_id,component_name,rank_variance,fraction_spatial_support,fraction_decision,fraction_landscape_weight,fraction_terrain_formulation,fraction_interaction
139-004,Sirkap (fortified city),18.184329360804245,0.14487195839980518,0.7561428456644298,0.7211905959732254,0.012932356146401973,0.09898519593576498
139-013,Mohra Moradu stupa and monastery,17.135496005293344,0.2976357465456844,0.5143883495784133,0.3664446274295628,0.12237985302011432,0.1879759038759023
139-007,Khader Mohra (Akhuri),16.713149351059617,0.358810675936505,0.40835181245580715,0.26845763096942904,0.1191701523116254,0.23283751160768787
139-016,Lalchak mounds,12.76692029076809,0.13816358108835192,0.7280606896275191,0.6391723318140036,0.06564221891165238,0.13377572928412887
139-005,Sirsukh (fortified ruined city),12.155460947169903,0.26347797888244245,0.5227553530124943,0.3002556257295406,0.20497714067924414,0.21376666810506323
139-010,Kunala stupa and monastery,11.885583905887309,0.30845750029341185,0.4833530384757113,0.45938065350832197,0.010142489526280296,0.20818946123087684
139-001,Khanpur Cave,10.854588040153224,0.570870117562807,0.12935060551795954,0.010131979017699392,0.09842993020800123,0.2997792769192334
139-017,Buddhist remains around Bhallar stupa,10.72065957173131,0.22473931353435894,0.5234446082854248,0.1799586082705648,0.29295288817914344,0.25181607818021634
139-015,Jaulian stupa and monastery,10.637899337094304,0.3660703844334792,0.3599898974366229,0.3306765829969016,0.014722491602644263,0.27393971812989787
139-014,Pippala stupa and monastery,9.783009350342292,0.49585722331859794,0.2116336926571381,0.2082224506204815,3.2422107597618256e-05,0.29250908402426395
139-008,Kalawan group of buildings,9.675920862417467,0.6060621855075855,0.05324917179500556,0.051816534769556784,0.0010013260993007498,0.34068864269740895
139-006,Dharmarajika stupa and monastery,9.019043542633272,0.4619064155032658,0.24555309249999754,0.10732116511244169,0.11704016577423909,0.29254049199673665
139-018,Giri Mosque and tombs,7.757031953507271,0.07391111144207808,0.8152468504965986,0.6390750870783598,0.15832319635825098,0.11084203806132328
139-009,Giri complex of monuments,4.591623791527149,0.1454348919529428,0.6718703911121405,0.6335026552041181,0.017510237442993033,0.1826947169349167
139-003,Bhir Mound,3.6828584338363015,0.4399317828514934,0.1910180315939848,0.16466804977506508,0.00045284913065703235,0.36905018555452185
139-011,Jandial complex,3.0206874202400877,0.3260032058130673,0.31629015939045757,0.2903506931624929,0.006215087708866343,0.35770663479647513
139-012,Lalchak and Badalpur Buddhist stuppa,2.0679159999153027,0.34163087888943183,0.280744783035696,0.24439012236575716,0.0174250392563489,0.37762433807487217
