component_id,component_name,acceptability_rank1,acceptability_top3,acceptability_top5,median_rank,central_landscape_weight,confidence_factor,first_rank_share_equal_factors,first_rank_share_correlation_adjusted,first_rank_share_reduced_slope_drainage
139-017,Buddhist remains around Bhallar stupa,0.3100235588865401,0.5343383226926882,0.6324386650438794,3.0,0.37529047476927313,0.4227467811158798,0.47734055741769593,0.5105835896964966,0.012075852885807429
139-009,Giri complex of monuments,0.2565249574730069,0.7333041516309725,0.8596787165744952,2.0,0.3816365162382254,0.37052932761087265,0.2994048527392034,0.26205901530180487,0.4385361319589917
139-018,Giri Mosque and tombs,0.1205346657271582,0.4604267646033068,0.7253112121794462,4.0,0.29620800118098606,0.21316165951359084,0.0011219368172423975,0.0007381163271331562,0.9981399468556245
139-004,Sirkap (fortified city),0.07458416074135758,0.16638196713143866,0.2458700773670987,10.0,0.8708805706651398,0.2718168812589413,0.3787098005534879,0.3836243916404237,0.23766580780608837
139-010,Kunala stupa and monastery,0.05449860853102157,0.15390856874426154,0.24795906020683423,8.0,0.8589300639937313,0.19814020028612303,0.3413216664490009,0.3309390100561578,0.3277393234948413
139-006,Dharmarajika stupa and monastery,0.051697876853216036,0.16341397447668668,0.3282336529085616,7.0,0.82406312383837,0.15808297567954221,0.39147793763337235,0.4005644661664487,0.20795759620017898
139-015,Jaulian stupa and monastery,0.038964690140143345,0.41177161403284007,0.7459946334137609,4.0,0.5629144214083478,0.07224606580829757,0.31884190337017076,0.30569001735318296,0.37546807927664627
139-007,Khader Mohra (Akhuri),0.023356038121267766,0.10678011943145503,0.3651663001160151,7.0,0.7248003961602927,0.05793991416309013,0.1866524455279598,0.17598659149779064,0.6373609629742496
139-008,Kalawan group of buildings,0.016355988298849104,0.055943458672303714,0.11602573683798462,9.0,0.8420300261096606,0.05293276108726753,0.34856396866840733,0.34595300261096606,0.30548302872062666
139-014,Pippala stupa and monastery,0.01596452643791059,0.04659819642844433,0.21386984960747052,7.0,0.7500189478377174,0.035050071530758224,0.3874275523851984,0.38207757467677217,0.23049487293802942
139-013,Mohra Moradu stupa and monastery,0.013740311318941772,0.06076199830603776,0.2977280977088805,7.0,0.7455503755503756,0.030758226037195996,0.25071225071225073,0.24112924112924114,0.5081585081585082
139-005,Sirsukh (fortified ruined city),0.011879088107388665,0.05968369881636168,0.11827486316628588,11.0,0.8955272618334333,0.04864091559370529,0.41851408028759735,0.4275014979029359,0.15398442180946675
139-001,Khanpur Cave,0.009053445220250677,0.028811592965074486,0.0506017836425882,12.0,0.8514760220125785,0.030042918454935622,0.345125786163522,0.3408018867924528,0.31407232704402516
139-003,Bhir Mound,0.001697520978797002,0.0022882725143951203,0.003839884981387768,15.0,0.8551153039832284,0.005722460658082976,0.37735849056603776,0.3752620545073375,0.24737945492662475
139-016,Lalchak mounds,0.0011245631641506346,0.015587299553733478,0.0489042626637912,15.0,0.9168829113924051,0.004291845493562232,0.4177215189873418,0.4240506329113924,0.15822784810126583
139-011,Jandial complex,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.0
139-012,Lalchak and Badalpur Buddhist stuppa,0.0,0.0,0.00010320358152015317,17.0,,0.0,0.0,0.0,0.0
