component_id,component_name,radius_m,epoch_id,label_year,valid_cells,ndvi_median,ndvi_p10,ndvi_p90,ndbi_median,ndbi_p10,ndbi_p90,mndwi_median,mndwi_p10,mndwi_p90,bsi_median,bsi_p10,bsi_p90,classified_cells,lc_class_1_share,lc_class_2_share,lc_class_3_share,lc_class_4_share,lc_class_5_share,lc_class_6_share,ndvi_pressure,mndwi_pressure,ndbi_pressure,built_share_pressure,bare_share_pressure,surface_cover_pressure,landscape_pressure_score,terrain_susceptibility_score,slope_pressure,wetness_pressure,drainage_proximity_pressure,climate_extreme_score,integrated_exposure_score,local_priority_score
139-001,Khanpur Cave,250,E2004,2004,220,0.4086701273918152,0.21503320336341858,0.5035776495933533,-0.02854399010539055,-0.16299642622470856,0.1217917799949646,-0.4361443519592285,-0.45511630177497864,-0.35319218039512634,0.04606784135103226,-0.07566595822572708,0.17551584541797638,220,0.06363636363636363,0.14545454545454545,0.2681818181818182,0.12272727272727273,0.4,0.0,0.5588235294117647,0.7705882352941177,0.711764705882353,0.48823529411764705,0.9470588235294117,0.6352941176470588,0.7029411764705882,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.5166666666666666,0.55359477124183,0.5720588235294117
139-001,Khanpur Cave,250,E2009,2009,220,0.37891262769699097,0.2301509827375412,0.488587349653244,-0.019633824005723,-0.15929986536502838,0.10650352388620377,-0.4336964190006256,-0.45870423316955566,-0.33617496490478516,0.05744108557701111,-0.06938216835260391,0.16353119909763336,220,0.08636363636363636,0.1318181818181818,0.30454545454545456,0.05909090909090909,0.41818181818181815,0.0,0.7823529411764706,0.7235294117647059,0.7941176470588235,0.5705882352941176,0.9117647058823529,0.788235294117647,0.7558823529411764,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.462037037037037,0.5530319535221496,0.5985294117647059
139-001,Khanpur Cave,250,E2014,2014,220,0.40449821949005127,0.2320936620235443,0.5508301258087158,-0.023679083213210106,-0.16871358454227448,0.10650324821472168,-0.4280737638473511,-0.4677553176879883,-0.3580250144004822,0.04919940233230591,-0.08115663379430771,0.15266230702400208,220,0.07272727272727272,0.15,0.2409090909090909,0.1409090909090909,0.39545454545454545,0.0,0.5823529411764706,0.5941176470588235,0.7470588235294118,0.5352941176470588,0.9588235294117647,0.6647058823529413,0.6294117647058823,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.4842592592592592,0.5182824981844589,0.5352941176470588
139-001,Khanpur Cave,250,E2019,2019,218,0.40044721961021423,0.1982269138097763,0.6080723404884338,-0.03189494460821152,-0.1917320191860199,0.1295115202665329,-0.41909199953079224,-0.46685653924942017,-0.3509664833545685,0.047851480543613434,-0.10987318307161331,0.1736554652452469,218,0.06422018348623854,0.23394495412844038,0.2018348623853211,0.16972477064220184,0.3302752293577982,0.0,0.6058823529411764,0.40588235294117647,0.6882352941176471,0.5,0.9941176470588236,0.6470588235294117,0.526470588235294,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.3138888888888889,0.42717864923747273,0.48382352941176465
139-001,Khanpur Cave,250,E2024,2024,220,0.4657241106033325,0.2016037255525589,0.6332364678382874,-0.07880468666553497,-0.2316913604736328,0.11235012114048004,-0.41807985305786133,-0.47882547974586487,-0.3676525950431824,0.002049550414085388,-0.14280644059181213,0.16870200634002686,220,0.10909090909090909,0.16818181818181818,0.2,0.32727272727272727,0.19545454545454546,0.0,0.3235294117647059,0.38235294117647056,0.34705882352941175,0.6529411764705882,0.9823529411764705,0.33529411764705885,0.3588235294117647,0.4411764705882353,0.6176470588235294,0.38235294117647056,0.3235294117647059,0.5259259259259259,0.4419753086419753,0.4
139-003,Bhir Mound,250,E2004,2004,218,0.3761088252067566,0.24700181186199188,0.4463525414466858,0.0014321792405098677,-0.06980609893798828,0.0648094043135643,-0.4252602756023407,-0.47054705023765564,-0.37128233909606934,0.07082410156726837,0.004673672839999199,0.1313260793685913,218,0.16055045871559634,0.05045871559633028,0.44954128440366975,0.009174311926605505,0.3302752293577982,0.0,0.8176470588235294,0.5352941176470588,0.9,0.7941176470588235,0.8588235294117647,0.8588235294117648,0.6970588235294117,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.5166666666666666,0.49281045751633984,0.4808823529411764
139-003,Bhir Mound,250,E2009,2009,218,0.359279990196228,0.23889482021331787,0.4304760694503784,0.0009965321514755487,-0.06545162945985794,0.05446889251470566,-0.425512433052063,-0.46516287326812744,-0.35187456011772156,0.07222985476255417,0.013712354004383087,0.12677274644374847,218,0.24311926605504589,0.045871559633027525,0.3440366972477064,0.009174311926605505,0.3577981651376147,0.0,0.8764705882352941,0.5470588235294118,0.8764705882352941,0.9705882352941176,0.8411764705882353,0.8764705882352941,0.711764705882353,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.462037037037037,0.4795025417574437,0.4882352941176471
139-003,Bhir Mound,250,E2014,2014,202,0.4592898488044739,0.2489694058895111,0.5545228719711304,-0.049395911395549774,-0.120208740234375,0.039305396378040314,-0.44247961044311523,-0.49862873554229736,-0.34101957082748413,0.017666824162006378,-0.046639345586299896,0.10909827053546906,202,0.18811881188118812,0.01485148514851485,0.23267326732673269,0.09405940594059406,0.47029702970297027,0.0,0.3352941176470588,0.8294117647058824,0.5117647058823529,0.8764705882352941,0.7588235294117647,0.4235294117647058,0.6264705882352941,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.4842592592592592,0.45847857661583147,0.4455882352941176
139-003,Bhir Mound,250,E2019,2019,152,0.4520912766456604,0.3756144046783447,0.5210358500480652,-0.045249469578266144,-0.11160331219434738,0.002979711862280965,-0.453946053981781,-0.4747748076915741,-0.39161261916160583,0.025105975568294525,-0.032733816653490067,0.06715281307697296,152,0.06578947368421052,0.0,0.29605263157894735,0.09868421052631579,0.5394736842105263,0.0,0.38235294117647056,0.888235294117647,0.5705882352941176,0.5117647058823529,0.3235294117647059,0.4764705882352941,0.6823529411764706,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.3138888888888889,0.42031590413943354,0.47352941176470587
139-003,Bhir Mound,250,E2024,2024,205,0.4699966013431549,0.29966333508491516,0.5615787506103516,-0.061597757041454315,-0.14408466219902039,0.013405621983110905,-0.4357256591320038,-0.4679192304611206,-0.33295193314552307,0.01285824179649353,-0.06568585336208344,0.08113329857587814,205,0.23902439024390243,0.0,0.2,0.2048780487804878,0.35609756097560974,0.0,0.28823529411764703,0.7588235294117647,0.4294117647058823,0.9235294117647059,0.3235294117647059,0.35882352941176465,0.5588235294117647,0.2647058823529412,0.38235294117647056,0.2647058823529412,0.14705882352941177,0.5259259259259259,0.44981844589687725,0.4117647058823529
