component_id,component_name,radius_m,metric,theil_sen_slope_per_year,slope_low_95,slope_high_95,spearman_rho_year,n_epochs,interpretation
139-001,Khanpur Cave,250,ndvi_median,0.0025030791759490965,-0.005951499938964844,0.013055378198623657,0.3,5,descriptive_five_epoch_trajectory
139-001,Khanpur Cave,250,mndwi_median,0.00102024773756663,0.00020242929458618163,0.0017963528633117675,0.9999999999999999,5,descriptive_five_epoch_trajectory
139-001,Khanpur Cave,250,ndbi_median,-0.001434642169624567,-0.009381948411464692,0.00178203321993351,-0.7,5,descriptive_five_epoch_trajectory
139-001,Khanpur Cave,250,landscape_pressure_score,-0.021764705882352953,-0.03352941176470586,0.010588235294117654,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-001,Khanpur Cave,250,integrated_exposure_score,-0.0071768336964415464,-0.01822076978939724,0.0029593318809005174,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,250,ndvi_median,0.004879942784706751,-0.0033657670021057127,0.02000197172164917,0.7999999999999999,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,250,mndwi_median,-0.0012014076113700868,-0.0033934354782104493,0.0036440789699554443,-0.7,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,250,ndbi_median,-0.0032105771533679217,-0.010078488709405064,0.000829288363456726,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,250,landscape_pressure_score,-0.006838235294117645,-0.024705882352941178,0.011176470588235298,-0.7999999999999999,5,descriptive_five_epoch_trajectory
139-003,Bhir Mound,250,integrated_exposure_score,-0.00304738562091503,-0.007632534495279586,0.005900508351488742,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),250,ndvi_median,0.006304257114728292,-0.0032594382762908937,0.013773488998413085,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),250,mndwi_median,-0.00039940327405929565,-0.00485813021659851,0.004240429401397705,-0.3,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),250,ndbi_median,-0.005012112576514483,-0.006409241072833538,0.0024367451667785646,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),250,landscape_pressure_score,-0.00625,-0.04294117647058824,0.022941176470588243,-0.6,5,descriptive_five_epoch_trajectory
139-004,Sirkap (fortified city),250,integrated_exposure_score,-0.004460784313725491,-0.0128322440087146,0.014331880900508354,-0.7,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),250,ndvi_median,0.0045682917038599655,-0.0019492268562316894,0.01075448989868164,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),250,mndwi_median,0.0002518266439437866,-0.005760312080383301,0.0021810054779052733,0.0,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),250,ndbi_median,-0.003675426046053569,-0.007673713564872742,0.004192928969860077,-0.8999999999999998,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),250,landscape_pressure_score,-0.007058823529411759,-0.03058823529411764,0.044117647058823525,-0.7,5,descriptive_five_epoch_trajectory
139-005,Sirsukh (fortified ruined city),250,integrated_exposure_score,-0.0047140522875817,-0.02155410312273056,0.028841684822076975,-0.39999999999999997,5,descriptive_five_epoch_trajectory
139-006,Dharmarajika stupa and monastery,250,ndvi_median,0.004017954071362814,-0.0008133113384246826,0.00868857502937317,0.8999999999999998,5,descriptive_five_epoch_trajectory
139-006,Dharmarajika stupa and monastery,250,mndwi_median,0.0002926940719286601,-0.0031822681427001952,0.005048626661300659,0.3,5,descriptive_five_epoch_trajectory
139-006,Dharmarajika stupa and monastery,250,ndbi_median,-0.003198995627462864,-0.005508686602115631,0.0006377778947353363,-0.8999999999999998,5,descriptive_five_epoch_trajectory
