component_id,component_name,rank_250m,rank_500m,rank_1000m
139-001,Khanpur Cave,15,14,11
139-003,Bhir Mound,14,17,17
139-004,Sirkap (fortified city),10,12,15
139-005,Sirsukh (fortified ruined city),8,9,10
139-006,Dharmarajika stupa and monastery,3,5,6
139-007,Khader Mohra (Akhuri),7,6,3
139-008,Kalawan group of buildings,12,7,9
139-009,Giri complex of monuments,4,1,2
139-010,Kunala stupa and monastery,5,11,13
139-011,Jandial complex,16,16,16
139-012,Lalchak and Badalpur Buddhist stuppa,17,15,12
139-013,Mohra Moradu stupa and monastery,11,4,5
139-014,Pippala stupa and monastery,6,10,8
139-015,Jaulian stupa and monastery,2,3,1
139-016,Lalchak mounds,13,13,14
139-017,Buddhist remains around Bhallar stupa,9,8,7
139-018,Giri Mosque and tombs,1,2,4
