component_id,component_name,equal_domain_score,equal_domain_rank,monte_carlo_median_rank,rank_p2_5,rank_p97_5,probability_top_5,probability_top_3,weight_draws
139-009,Giri complex of monuments,0.5694262890341321,1,1.0,1.0,9.0,0.83178,0.77398,50000
139-018,Giri Mosque and tombs,0.5570079883805373,2,3.0,2.0,11.0,0.73022,0.67942,50000
139-015,Jaulian stupa and monastery,0.5537400145243282,3,4.0,2.0,7.0,0.83424,0.44044,50000
139-013,Mohra Moradu stupa and monastery,0.5347857661583152,4,5.0,4.0,11.0,0.61448,0.0,50000
139-006,Dharmarajika stupa and monastery,0.5328249818445897,5,5.0,2.0,8.0,0.51224,0.21892,50000
139-007,Khader Mohra (Akhuri),0.5321713870733478,6,6.0,5.0,9.0,0.0448,0.0,50000
139-008,Kalawan group of buildings,0.5213870733478576,7,7.0,2.0,9.0,0.38552,0.25416,50000
139-017,Buddhist remains around Bhallar stupa,0.520079883805374,8,8.0,1.0,15.0,0.44296,0.3054,50000
139-005,Sirsukh (fortified ruined city),0.5096223674655047,9,9.0,3.0,11.0,0.20212,0.10166,50000
139-014,Pippala stupa and monastery,0.5092955700798838,10,10.0,7.0,13.0,0.0,0.0,50000
139-010,Kunala stupa and monastery,0.5092955700798838,11,10.0,6.0,10.0,0.00876,0.0,50000
139-004,Sirkap (fortified city),0.49524328249818445,12,12.0,1.0,15.0,0.26978,0.22602,50000
139-016,Lalchak mounds,0.4726942628903413,13,13.0,4.0,16.0,0.1231,0.0,50000
139-001,Khanpur Cave,0.46256354393609295,14,14.0,12.0,15.0,0.0,0.0,50000
139-012,Lalchak and Badalpur Buddhist stuppa,0.4367465504720407,15,15.0,12.0,17.0,0.0,0.0,50000
139-011,Jandial complex,0.4076615831517792,16,16.0,13.0,17.0,0.0,0.0,50000
139-003,Bhir Mound,0.40177923021060274,17,16.0,14.0,17.0,0.0,0.0,50000
