radius_m,component_a,component_b,distance_m,intersection_area_m2,jaccard_overlap,flag_cluster_aware
250,Khader Mohra (Akhuri),Mohra Moradu stupa and monastery,44.550843145675216,174103.62898218678,0.796465007933879,False
250,Sirsukh (fortified ruined city),Lalchak mounds,244.70247007571515,79075.02933961779,0.2521331790237668,False
250,Giri complex of monuments,Giri Mosque and tombs,298.1682371429495,56645.861660025985,0.16856217492426628,False
250,Dharmarajika stupa and monastery,Kalawan group of buildings,324.491913879029,46349.99820045345,0.13382451523272149,False
250,Sirkap (fortified city),Kunala stupa and monastery,347.8844716570877,37694.93452220107,0.10618167371283568,False
250,Khanpur Cave,Bhir Mound,10345.395807714407,0.0,0.0,False
250,Khanpur Cave,Sirkap (fortified city),8940.267342165445,0.0,0.0,False
250,Khanpur Cave,Sirsukh (fortified ruined city),6273.911650043866,0.0,0.0,False
250,Khanpur Cave,Dharmarajika stupa and monastery,8642.112097872929,0.0,0.0,False
250,Khanpur Cave,Khader Mohra (Akhuri),6195.282686344946,0.0,0.0,False
250,Khanpur Cave,Kalawan group of buildings,8714.697947272842,0.0,0.0,False
250,Khanpur Cave,Giri complex of monuments,8140.77698899129,0.0,0.0,False
250,Khanpur Cave,Kunala stupa and monastery,9007.10041769407,0.0,0.0,False
250,Khanpur Cave,Jandial complex,8383.861404314614,0.0,0.0,False
250,Khanpur Cave,Lalchak and Badalpur Buddhist stuppa,4282.276730418247,0.0,0.0,False
250,Khanpur Cave,Mohra Moradu stupa and monastery,6150.798801542094,0.0,0.0,False
250,Khanpur Cave,Pippala stupa and monastery,5403.917100405278,0.0,0.0,False
250,Khanpur Cave,Jaulian stupa and monastery,4925.980070005173,0.0,0.0,False
250,Khanpur Cave,Lalchak mounds,6183.953723813376,0.0,0.0,False
250,Khanpur Cave,Buddhist remains around Bhallar stupa,7932.750880916129,0.0,0.0,False
250,Khanpur Cave,Giri Mosque and tombs,8359.861888262632,0.0,0.0,False
250,Bhir Mound,Sirkap (fortified city),1433.8975501063214,0.0,0.0,False
250,Bhir Mound,Sirsukh (fortified ruined city),4219.1220410182905,0.0,0.0,False
250,Bhir Mound,Dharmarajika stupa and monastery,2164.0457283569845,0.0,0.0,False
250,Bhir Mound,Khader Mohra (Akhuri),4267.133308720623,0.0,0.0,False
250,Bhir Mound,Kalawan group of buildings,1910.3320642539682,0.0,0.0,False
250,Bhir Mound,Giri complex of monuments,6155.50758967236,0.0,0.0,False
250,Bhir Mound,Kunala stupa and monastery,1340.7088512591392,0.0,0.0,False
250,Bhir Mound,Jandial complex,2442.4192344884345,0.0,0.0,False
250,Bhir Mound,Lalchak and Badalpur Buddhist stuppa,6163.221444512863,0.0,0.0,False
250,Bhir Mound,Mohra Moradu stupa and monastery,4308.867703074159,0.0,0.0,False
250,Bhir Mound,Pippala stupa and monastery,5019.6554485982915,0.0,0.0,False
250,Bhir Mound,Jaulian stupa and monastery,5690.550023940587,0.0,0.0,False
250,Bhir Mound,Lalchak mounds,4387.365155179741,0.0,0.0,False
250,Bhir Mound,Buddhist remains around Bhallar stupa,7735.64147813281,0.0,0.0,False
250,Bhir Mound,Giri Mosque and tombs,5948.190582358525,0.0,0.0,False
250,Sirkap (fortified city),Sirsukh (fortified ruined city),2785.609193765716,0.0,0.0,False
250,Sirkap (fortified city),Dharmarajika stupa and monastery,1530.6626467045983,0.0,0.0,False
250,Sirkap (fortified city),Khader Mohra (Akhuri),2973.539612201248,0.0,0.0,False
250,Sirkap (fortified city),Kalawan group of buildings,1208.1260046950144,0.0,0.0,False
250,Sirkap (fortified city),Giri complex of monuments,5639.768795502255,0.0,0.0,False
250,Sirkap (fortified city),Jandial complex,1229.3205760340443,0.0,0.0,False
250,Sirkap (fortified city),Lalchak and Badalpur Buddhist stuppa,4734.0289456545515,0.0,0.0,False
250,Sirkap (fortified city),Mohra Moradu stupa and monastery,3011.9915480619843,0.0,0.0,False
250,Sirkap (fortified city),Pippala stupa and monastery,3682.303367196694,0.0,0.0,False
250,Sirkap (fortified city),Jaulian stupa and monastery,4403.063610379605,0.0,0.0,False
250,Sirkap (fortified city),Lalchak mounds,2957.313961394439,0.0,0.0,False
250,Sirkap (fortified city),Buddhist remains around Bhallar stupa,6679.373739516666,0.0,0.0,False
250,Sirkap (fortified city),Giri Mosque and tombs,5487.508309922922,0.0,0.0,False
250,Sirsukh (fortified ruined city),Dharmarajika stupa and monastery,3129.4451274770786,0.0,0.0,False
250,Sirsukh (fortified ruined city),Khader Mohra (Akhuri),1627.456871809626,0.0,0.0,False
250,Sirsukh (fortified ruined city),Kalawan group of buildings,3025.0958582242283,0.0,0.0,False
250,Sirsukh (fortified ruined city),Giri complex of monuments,5710.8348442602955,0.0,0.0,False
250,Sirsukh (fortified ruined city),Kunala stupa and monastery,2944.2911686973307,0.0,0.0,False
250,Sirsukh (fortified ruined city),Jandial complex,2114.4378805554575,0.0,0.0,False
250,Sirsukh (fortified ruined city),Lalchak and Badalpur Buddhist stuppa,1997.28712248637,0.0,0.0,False
250,Sirsukh (fortified ruined city),Mohra Moradu stupa and monastery,1621.9528143382859,0.0,0.0,False
