period,metric,n,effective_n_lag1,theil_sen_slope_per_year,theil_sen_intercept,scipy_slope_ci_low_95,scipy_slope_ci_high_95,moving_block_slope_ci_low_95,moving_block_slope_ci_high_95,moving_block_p_two_sided,bootstrap_draws,block_length_years,fdr_adjusted_block_p,status
annual,precipitation_sum_mm,35,17.733210169098335,-10.303703703703693,21598.03703703702,-17.93666666666667,-2.5642857142857047,-17.914978439153344,-2.667899999999967,0.008995502248875561,2000,5,0.026986506746626684,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,rx1day_mm,35,20.094812095860195,-0.623333333333333,1321.1533333333325,-1.843181818181818,0.25555555555555565,-1.5425814393939405,0.4033541666666666,0.1549225387306347,2000,5,0.23238380809595205,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,rx5day_mm,35,13.930731723685392,-1.7354166666666668,3617.8666666666672,-3.369642857142857,-0.36153846153846064,-3.3891284722222235,-0.20185185185184631,0.03948025987006497,2000,5,0.09475262368815593,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,heavy_precipitation_days,35,20.967171350308575,-0.14285714285714285,291.85714285714283,-0.2413793103448276,-0.058823529411764705,-0.22661777877295253,-0.0582010582010576,0.0014992503748125937,2000,5,0.017991004497751123,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,consecutive_dry_days,35,35.0,0.16666666666666666,-299.66666666666663,-0.3157894736842105,0.6666666666666666,-0.14169642857143042,0.4321658615136879,0.2028985507246377,2000,5,0.25967016491754125,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,temperature_mean_c,35,13.444130718985202,0.04175342465753417,-63.39553424657518,0.010342465753424629,0.06647260273972606,0.009929448312000488,0.07313318489594169,0.006496751624187906,2000,5,0.025987006496751622,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,annual_or_period_max_tmax_c,35,35.0,0.03333333333333328,-25.683333333333223,-0.021153846153846044,0.09375,-0.007872474747475454,0.07778645833333314,0.12043978010994502,2000,5,0.20646819447419146,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,hot_days,35,23.168021930907635,0.18181818181818182,-348.0909090909091,-0.18181818181818182,0.48148148148148145,-0.17277972027971672,0.5227272727272663,0.30634682658670664,2000,5,0.33419653809458905,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,heatwave_max_days,35,35.0,0.03225806451612903,-56.77419354838709,-0.08695652173913043,0.17647058823529413,-0.044887798036466205,0.1143718664270179,0.3493253373313343,2000,5,0.3493253373313343,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,relative_humidity_mean_percent,35,13.248991323865766,-0.13114635904830527,326.27271088680516,-0.24409508020589832,0.008219178082191548,-0.2851618321193846,0.02554842881400529,0.11244377811094453,2000,5,0.20646819447419146,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,soil_moisture_mean_m3m3,35,17.13791955288586,-0.0012777133825079045,2.8334779241306665,-0.0019842167957117357,-0.0005175799086758007,-0.002226964328043511,-0.00033348839296417666,0.006496751624187906,2000,5,0.025987006496751622,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
annual,et0_sum_mm,35,14.460236268586971,2.285000000000044,-3176.1475000000887,-1.0806249999999977,5.027750000000014,-1.2405287047511235,5.594104048295493,0.21639180409795103,2000,5,0.25967016491754125,INFERENTIAL_WITH_BLOCK_BOOTSTRAP
