component_id,component_name,score_median,score_ci_low_95,score_ci_high_95,rank_median,rank_ci_low_95,rank_ci_high_95,probability_top_3,probability_top_5,draws,uncertainty_scope,spatial_states,decision_draws_per_state,joint_score_vectors
139-009,Giri complex of monuments,0.6231452579004011,0.5089078279562609,0.8682178192623675,2.0,1.0,9.0,0.7324,0.861,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-017,Buddhist remains around Bhallar stupa,0.5981211010736145,0.45464728283519223,0.7263342693767925,3.0,1.0,13.0,0.526,0.6244,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-018,Giri Mosque and tombs,0.5897743426352912,0.48254332742292777,0.8771483201557521,4.0,1.0,11.0,0.4626,0.7278,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-015,Jaulian stupa and monastery,0.5905467493101653,0.43719639842092173,0.8061285316223001,4.0,1.0,14.0,0.4096,0.7514,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-006,Dharmarajika stupa and monastery,0.5270771051919569,0.4449068847518392,0.6281862041542278,7.0,1.0,12.0,0.1584,0.326,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-007,Khader Mohra (Akhuri),0.5330457918795306,0.3647367718323951,0.7894412599995487,7.0,1.0,17.0,0.118,0.3734,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-013,Mohra Moradu stupa and monastery,0.5223026451730275,0.3551746554629048,0.7811366421175434,7.0,3.0,17.0,0.0616,0.3008,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-014,Pippala stupa and monastery,0.5283562267593412,0.41707597943145447,0.6357523538934681,7.0,2.0,15.0,0.0458,0.2134,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-010,Kunala stupa and monastery,0.5055385751062538,0.4131668510320817,0.6380840389366604,9.0,1.0,14.0,0.1526,0.2496,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-008,Kalawan group of buildings,0.4842004116835474,0.3983480913421116,0.594035411075877,9.0,2.0,16.0,0.0594,0.1164,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-004,Sirkap (fortified city),0.48038828916298437,0.30982055547933096,0.6513997447426636,10.0,1.0,15.0,0.1642,0.2416,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-005,Sirsukh (fortified ruined city),0.4623595608595158,0.22061390526968477,0.590442462208038,11.0,2.0,15.0,0.0626,0.1178,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-001,Khanpur Cave,0.44622518512495757,0.3713471087218683,0.5849431311264373,12.0,3.0,17.0,0.0316,0.052,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-011,Jandial complex,0.42790606829749533,0.32973384436494185,0.47986147020501696,13.0,10.0,17.0,0.0,0.0,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-016,Lalchak mounds,0.41333851996682575,0.09662495758318994,0.555505866159374,15.0,4.0,17.0,0.0138,0.042,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-003,Bhir Mound,0.3921600165267873,0.20726573676694396,0.48641977887497456,15.0,10.0,17.0,0.0014,0.0022,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
139-012,Lalchak and Badalpur Buddhist stuppa,0.3597761046794413,0.10067778965605023,0.46562787591366595,17.0,12.0,17.0,0.0,0.0002,5000,500 independent spatial states crossed with 10 decision settings; 500 m primary support,500,10,5000
