component_id,component_name,ndvi_pressure,ndbi_pressure,mndwi_pressure,slope_pressure,wetness_pressure,drainage_proximity_pressure,surface_cover_pressure,landscape_pressure_score,terrain_susceptibility_score,local_priority_score,rank
139-009,Giri complex of monuments,0.01764705882352941,0.01764705882352941,0.9941176470588236,0.7941176470588235,0.2647058823529412,0.9705882352941176,0.01764705882352941,0.5058823529411764,0.676470588235294,0.5911764705882352,1
139-018,Giri Mosque and tombs,0.0058823529411764705,0.0058823529411764705,0.9705882352941176,0.9705882352941176,0.14705882352941177,0.8529411764705882,0.0058823529411764705,0.48823529411764705,0.6568627450980392,0.5725490196078431,2
139-015,Jaulian stupa and monastery,0.07647058823529412,0.14705882352941177,0.9235294117647059,0.7352941176470589,0.20588235294117646,0.9117647058823529,0.11176470588235295,0.5176470588235295,0.6176470588235294,0.5676470588235294,3
139-013,Mohra Moradu stupa and monastery,0.20588235294117646,0.22941176470588234,0.7823529411764706,0.9117647058823529,0.08823529411764706,0.7352941176470589,0.21764705882352942,0.5,0.5784313725490197,0.5392156862745099,4
139-006,Dharmarajika stupa and monastery,0.31176470588235294,0.38235294117647056,0.7588235294117647,0.38235294117647056,0.6176470588235294,0.5588235294117647,0.34705882352941175,0.5529411764705883,0.5196078431372549,0.5362745098039217,5
139-007,Khader Mohra (Akhuri),0.18235294117647058,0.20588235294117646,0.8294117647058824,0.8529411764705882,0.029411764705882353,0.7941176470588235,0.1941176470588235,0.5117647058823529,0.5588235294117646,0.5352941176470587,6
139-008,Kalawan group of buildings,0.27647058823529413,0.28823529411764703,0.8529411764705882,0.4411764705882353,0.47058823529411764,0.5,0.2823529411764706,0.5676470588235294,0.4705882352941176,0.5191176470588235,7
139-017,Buddhist remains around Bhallar stupa,0.5117647058823529,0.5705882352941176,0.13529411764705881,0.5,0.9117647058823529,0.6764705882352942,0.5411764705882353,0.338235294117647,0.6960784313725489,0.517156862745098,8
139-005,Sirsukh (fortified ruined city),0.19411764705882353,0.2529411764705882,0.9,0.14705882352941177,0.9117647058823529,0.2647058823529412,0.22352941176470587,0.5617647058823529,0.4411764705882353,0.5014705882352941,9
139-010,Kunala stupa and monastery,0.3941176470588235,0.4411764705882353,0.6647058823529411,0.6764705882352942,0.38235294117647056,0.3235294117647059,0.41764705882352937,0.5411764705882353,0.46078431372549017,0.5009803921568627,10
139-014,Pippala stupa and monastery,0.38235294117647056,0.40588235294117647,0.5117647058823529,0.5588235294117647,0.47058823529411764,0.6176470588235294,0.3941176470588235,0.4529411764705882,0.5490196078431372,0.5009803921568627,11
139-004,Sirkap (fortified city),0.5,0.6529411764705882,0.6176470588235294,0.3235294117647059,0.5588235294117647,0.20588235294117646,0.5764705882352941,0.5970588235294118,0.3627450980392157,0.4799019607843137,12
139-016,Lalchak mounds,0.17058823529411765,0.2411764705882353,0.9117647058823529,0.058823529411764705,0.9117647058823529,0.029411764705882353,0.20588235294117646,0.5588235294117647,0.3333333333333333,0.446078431372549,13
139-001,Khanpur Cave,0.3588235294117647,0.37058823529411766,0.4764705882352941,0.6176470588235294,0.3235294117647059,0.38235294117647056,0.3647058823529412,0.42058823529411765,0.4411764705882353,0.4308823529411765,14
139-012,Lalchak and Badalpur Buddhist stuppa,0.052941176470588235,0.07647058823529412,0.8764705882352941,0.058823529411764705,0.7941176470588235,0.08823529411764706,0.06470588235294118,0.47058823529411764,0.3137254901960784,0.39215686274509803,15
139-011,Jandial complex,0.4764705882352941,0.4176470588235294,0.06470588235294118,0.20588235294117646,0.6764705882352942,0.4411764705882353,0.44705882352941173,0.25588235294117645,0.4411764705882353,0.34852941176470587,16
139-003,Bhir Mound,0.5352941176470588,0.5470588235294118,0.052941176470588235,0.2647058823529412,0.7352941176470589,0.14705882352941177,0.5411764705882354,0.2970588235294118,0.38235294117647056,0.3397058823529412,17
