model,bin_left,bin_right,count,accuracy,mean_confidence,ece
Regularised multinomial logistic,0.0,0.1,0,,,0.03019598352764579
Regularised multinomial logistic,0.1,0.2,0,,,0.03019598352764579
Regularised multinomial logistic,0.2,0.30000000000000004,0,,,0.03019598352764579
Regularised multinomial logistic,0.30000000000000004,0.4,28,0.4642857142857143,0.36960788107253784,0.03019598352764579
Regularised multinomial logistic,0.4,0.5,213,0.4413145539906103,0.4608322918751936,0.03019598352764579
Regularised multinomial logistic,0.5,0.6000000000000001,563,0.5612788632326821,0.5498781177065811,0.03019598352764579
Regularised multinomial logistic,0.6000000000000001,0.7000000000000001,578,0.7145328719723183,0.6486880893860645,0.03019598352764579
Regularised multinomial logistic,0.7000000000000001,0.8,640,0.7984375,0.7509574435400761,0.03019598352764579
Regularised multinomial logistic,0.8,0.9,742,0.9070080862533693,0.8507259618579561,0.03019598352764579
Regularised multinomial logistic,0.9,1.0,1424,0.9676966292134831,0.9655708953563216,0.03019598352764579
Random forest,0.0,0.1,0,,,0.015829436876950393
Random forest,0.1,0.2,0,,,0.015829436876950393
Random forest,0.2,0.30000000000000004,0,,,0.015829436876950393
Random forest,0.30000000000000004,0.4,32,0.4375,0.3668114389307469,0.015829436876950393
Random forest,0.4,0.5,159,0.4779874213836478,0.4601465702574156,0.015829436876950393
Random forest,0.5,0.6000000000000001,402,0.5845771144278606,0.5515428285000461,0.015829436876950393
Random forest,0.6000000000000001,0.7000000000000001,386,0.6787564766839378,0.6498118113604018,0.015829436876950393
Random forest,0.7000000000000001,0.8,548,0.7481751824817519,0.7544038376136474,0.015829436876950393
Random forest,0.8,0.9,851,0.8260869565217391,0.8540287925111333,0.015829436876950393
Random forest,0.9,1.0,1810,0.961878453038674,0.9671550956686529,0.015829436876950393
Extra trees,0.0,0.1,0,,,0.016948474672471448
Extra trees,0.1,0.2,0,,,0.016948474672471448
Extra trees,0.2,0.30000000000000004,0,,,0.016948474672471448
Extra trees,0.30000000000000004,0.4,46,0.45652173913043476,0.3757299866256983,0.016948474672471448
Extra trees,0.4,0.5,190,0.5105263157894737,0.4615021730998117,0.016948474672471448
Extra trees,0.5,0.6000000000000001,456,0.5855263157894737,0.5503577808342022,0.016948474672471448
Extra trees,0.6000000000000001,0.7000000000000001,451,0.6873614190687362,0.6501158011691183,0.016948474672471448
Extra trees,0.7000000000000001,0.8,621,0.7777777777777778,0.7508240933161557,0.016948474672471448
Extra trees,0.8,0.9,808,0.8551980198019802,0.8498175471767538,0.016948474672471448
Extra trees,0.9,1.0,1616,0.9696782178217822,0.9671850750879486,0.016948474672471448
Histogram gradient boosting,0.0,0.1,0,,,0.03086006423544608
Histogram gradient boosting,0.1,0.2,0,,,0.03086006423544608
Histogram gradient boosting,0.2,0.30000000000000004,0,,,0.03086006423544608
Histogram gradient boosting,0.30000000000000004,0.4,19,0.10526315789473684,0.37012186106703293,0.03086006423544608
Histogram gradient boosting,0.4,0.5,98,0.41836734693877553,0.46658682379618954,0.03086006423544608
Histogram gradient boosting,0.5,0.6000000000000001,269,0.550185873605948,0.5518280834085888,0.03086006423544608
Histogram gradient boosting,0.6000000000000001,0.7000000000000001,329,0.6443768996960486,0.651999166194459,0.03086006423544608
Histogram gradient boosting,0.7000000000000001,0.8,429,0.6993006993006993,0.7545110799730856,0.03086006423544608
Histogram gradient boosting,0.8,0.9,716,0.8142458100558659,0.8540613494521889,0.03086006423544608
Histogram gradient boosting,0.9,1.0,2328,0.9402920962199313,0.9679301826867008,0.03086006423544608
MLP sensitivity,0.0,0.1,0,,,0.01511654485402271
MLP sensitivity,0.1,0.2,0,,,0.01511654485402271
MLP sensitivity,0.2,0.30000000000000004,0,,,0.01511654485402271
MLP sensitivity,0.30000000000000004,0.4,27,0.2962962962962963,0.3726514597073148,0.01511654485402271
MLP sensitivity,0.4,0.5,147,0.4421768707482993,0.45812584285005764,0.01511654485402271
MLP sensitivity,0.5,0.6000000000000001,395,0.579746835443038,0.5518602404197132,0.01511654485402271
MLP sensitivity,0.6000000000000001,0.7000000000000001,396,0.6616161616161617,0.6495983876379571,0.01511654485402271
MLP sensitivity,0.7000000000000001,0.8,549,0.7814207650273224,0.7516699691172892,0.01511654485402271
MLP sensitivity,0.8,0.9,760,0.8486842105263158,0.8542838284726806,0.01511654485402271
MLP sensitivity,0.9,1.0,1914,0.9561128526645768,0.9678886423271491,0.01511654485402271
