component_id,component_name,radius_m,terrain_model,landscape_weight,terrain_weight,score,rank,top3,top5
139-001,Khanpur Cave,250,equal_factors,0.25,0.75,0.42058823529411765,11,False,False
139-003,Bhir Mound,250,equal_factors,0.25,0.75,0.3382352941176471,16,False,False
139-004,Sirkap (fortified city),250,equal_factors,0.25,0.75,0.36911764705882355,15,False,False
139-005,Sirsukh (fortified ruined city),250,equal_factors,0.25,0.75,0.45514705882352935,10,False,False
139-006,Dharmarajika stupa and monastery,250,equal_factors,0.25,0.75,0.5397058823529411,6,False,False
139-007,Khader Mohra (Akhuri),250,equal_factors,0.25,0.75,0.5595588235294118,4,False,True
139-008,Kalawan group of buildings,250,equal_factors,0.25,0.75,0.40808823529411764,13,False,False
139-009,Giri complex of monuments,250,equal_factors,0.25,0.75,0.5235294117647059,8,False,False
139-010,Kunala stupa and monastery,250,equal_factors,0.25,0.75,0.47720588235294115,9,False,False
139-011,Jandial complex,250,equal_factors,0.25,0.75,0.4088235294117647,12,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,equal_factors,0.25,0.75,0.30147058823529416,17,False,False
139-013,Mohra Moradu stupa and monastery,250,equal_factors,0.25,0.75,0.550735294117647,5,False,True
139-014,Pippala stupa and monastery,250,equal_factors,0.25,0.75,0.5632352941176472,3,True,True
139-015,Jaulian stupa and monastery,250,equal_factors,0.25,0.75,0.6904411764705882,1,True,True
139-016,Lalchak mounds,250,equal_factors,0.25,0.75,0.40514705882352936,14,False,False
139-017,Buddhist remains around Bhallar stupa,250,equal_factors,0.25,0.75,0.538235294117647,7,False,False
139-018,Giri Mosque and tombs,250,equal_factors,0.25,0.75,0.6786764705882352,2,True,True
139-001,Khanpur Cave,250,equal_factors,0.5,0.5,0.4,15,False,False
139-003,Bhir Mound,250,equal_factors,0.5,0.5,0.4117647058823529,14,False,False
139-004,Sirkap (fortified city),250,equal_factors,0.5,0.5,0.47352941176470587,10,False,False
139-005,Sirsukh (fortified ruined city),250,equal_factors,0.5,0.5,0.47892156862745094,8,False,False
139-006,Dharmarajika stupa and monastery,250,equal_factors,0.5,0.5,0.5205882352941177,3,True,True
139-007,Khader Mohra (Akhuri),250,equal_factors,0.5,0.5,0.48186274509803917,7,False,False
139-008,Kalawan group of buildings,250,equal_factors,0.5,0.5,0.45343137254901966,12,False,False
139-009,Giri complex of monuments,250,equal_factors,0.5,0.5,0.5078431372549019,4,False,True
139-010,Kunala stupa and monastery,250,equal_factors,0.5,0.5,0.4936274509803922,5,False,True
139-011,Jandial complex,250,equal_factors,0.5,0.5,0.3568627450980392,16,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,equal_factors,0.5,0.5,0.3186274509803922,17,False,False
139-013,Mohra Moradu stupa and monastery,250,equal_factors,0.5,0.5,0.46421568627450976,11,False,False
139-014,Pippala stupa and monastery,250,equal_factors,0.5,0.5,0.48921568627450984,6,False,False
139-015,Jaulian stupa and monastery,250,equal_factors,0.5,0.5,0.567156862745098,2,True,True
139-016,Lalchak mounds,250,equal_factors,0.5,0.5,0.4377450980392157,13,False,False
139-017,Buddhist remains around Bhallar stupa,250,equal_factors,0.5,0.5,0.4784313725490196,9,False,False
139-018,Giri Mosque and tombs,250,equal_factors,0.5,0.5,0.6220588235294118,1,True,True
139-001,Khanpur Cave,250,equal_factors,0.75,0.25,0.37941176470588234,14,False,False
139-003,Bhir Mound,250,equal_factors,0.75,0.25,0.4852941176470588,8,False,False
139-004,Sirkap (fortified city),250,equal_factors,0.75,0.25,0.5779411764705882,1,True,True
139-005,Sirsukh (fortified ruined city),250,equal_factors,0.75,0.25,0.5026960784313725,4,False,True
139-006,Dharmarajika stupa and monastery,250,equal_factors,0.75,0.25,0.5014705882352941,5,False,True
139-007,Khader Mohra (Akhuri),250,equal_factors,0.75,0.25,0.4041666666666666,13,False,False
139-008,Kalawan group of buildings,250,equal_factors,0.75,0.25,0.49877450980392163,6,False,False
139-009,Giri complex of monuments,250,equal_factors,0.75,0.25,0.49215686274509796,7,False,False
139-010,Kunala stupa and monastery,250,equal_factors,0.75,0.25,0.5100490196078432,3,True,True
139-011,Jandial complex,250,equal_factors,0.75,0.25,0.30490196078431375,17,False,False
139-012,Lalchak and Badalpur Buddhist stuppa,250,equal_factors,0.75,0.25,0.3357843137254902,16,False,False
139-013,Mohra Moradu stupa and monastery,250,equal_factors,0.75,0.25,0.37769607843137254,15,False,False
139-014,Pippala stupa and monastery,250,equal_factors,0.75,0.25,0.4151960784313725,12,False,False
139-015,Jaulian stupa and monastery,250,equal_factors,0.75,0.25,0.4438725490196078,10,False,False
