component_id,component_name,n_scenarios,top3_count,top3_frequency,top3_ci_low_95,top3_ci_high_95,top5_count,top5_frequency,top5_ci_low_95,top5_ci_high_95,top5_interval_spans_half,inspection_tier
139-009,Giri complex of monuments,27,17,0.6296296296296297,0.42367957250429583,0.8059928412848649,23,0.8518518518518519,0.6626891359757556,0.9581126035262327,False,Tier 1: robust high priority
139-018,Giri Mosque and tombs,27,20,0.7407407407407407,0.5371512577238284,0.8888554371545576,23,0.8518518518518519,0.6626891359757556,0.9581126035262327,False,Tier 1: robust high priority
139-015,Jaulian stupa and monastery,27,18,0.6666666666666666,0.46039271390774283,0.8348118203126843,24,0.8888888888888888,0.708413075726448,0.976472545619146,False,Tier 1: robust high priority
139-007,Khader Mohra (Akhuri),27,7,0.25925925925925924,0.1111445628454424,0.4628487422761715,15,0.5555555555555556,0.35326423032200543,0.7452011933682622,True,Tier 2: conditional high priority
139-013,Mohra Moradu stupa and monastery,27,2,0.07407407407407407,0.009100072942306284,0.24289834684562717,17,0.6296296296296297,0.42367957250429583,0.8059928412848649,True,Tier 2: conditional high priority
139-006,Dharmarajika stupa and monastery,27,6,0.2222222222222222,0.08621693994756671,0.42258306004437896,11,0.4074074074074074,0.22389729135058142,0.6120160697403181,True,Tier 3: routine/uncertain priority
139-008,Kalawan group of buildings,27,2,0.07407407407407407,0.009100072942306284,0.24289834684562717,3,0.1111111111111111,0.02352745438085398,0.291586924273552,False,Tier 3: routine/uncertain priority
139-014,Pippala stupa and monastery,27,2,0.07407407407407407,0.009100072942306284,0.24289834684562717,2,0.07407407407407407,0.009100072942306284,0.24289834684562717,False,Tier 3: routine/uncertain priority
139-017,Buddhist remains around Bhallar stupa,27,2,0.07407407407407407,0.009100072942306284,0.24289834684562717,5,0.18518518518518517,0.0630000065376768,0.38082987909399446,False,Tier 3: routine/uncertain priority
139-005,Sirsukh (fortified ruined city),27,1,0.037037037037037035,0.0009372570919447071,0.1897056174130446,3,0.1111111111111111,0.02352745438085398,0.291586924273552,False,Tier 3: routine/uncertain priority
139-010,Kunala stupa and monastery,27,1,0.037037037037037035,0.0009372570919447071,0.1897056174130446,4,0.14814814814814814,0.04188739647376728,0.3373108640242444,False,Tier 3: routine/uncertain priority
139-001,Khanpur Cave,27,0,0.0,0.0,0.12770286761543234,0,0.0,0.0,0.12770286761543234,False,Tier 3: routine/uncertain priority
139-004,Sirkap (fortified city),27,3,0.1111111111111111,0.02352745438085398,0.291586924273552,5,0.18518518518518517,0.0630000065376768,0.38082987909399446,False,Tier 3: routine/uncertain priority
139-016,Lalchak mounds,27,0,0.0,0.0,0.12770286761543234,0,0.0,0.0,0.12770286761543234,False,Tier 3: routine/uncertain priority
139-012,Lalchak and Badalpur Buddhist stuppa,27,0,0.0,0.0,0.12770286761543234,0,0.0,0.0,0.12770286761543234,False,Tier 3: routine/uncertain priority
139-003,Bhir Mound,27,0,0.0,0.0,0.12770286761543234,0,0.0,0.0,0.12770286761543234,False,Tier 3: routine/uncertain priority
139-011,Jandial complex,27,0,0.0,0.0,0.12770286761543234,0,0.0,0.0,0.12770286761543234,False,Tier 3: routine/uncertain priority
