row,col,spatial_block,proxy_class,role
367,333,54,5,test
2,163,2,4,buffer
618,85,91,2,development
623,341,95,4,buffer
612,388,95,4,buffer
552,592,88,5,development
618,128,91,2,development
150,179,22,3,buffer
304,433,46,4,development
583,93,81,5,development
545,79,81,2,development
59,505,7,5,development
636,212,93,1,test
606,11,90,2,development
516,110,71,2,development
384,464,56,4,development
511,125,71,1,development
451,516,67,4,development
295,277,44,3,test
174,142,22,1,buffer
645,23,90,2,development
626,106,91,2,development
182,355,25,5,buffer
446,188,62,1,buffer
544,127,81,5,development
619,144,92,2,buffer
34,156,2,3,buffer
597,97,81,2,development
610,179,92,1,buffer
427,503,67,4,development
585,139,82,5,buffer
155,287,24,5,test
287,69,41,1,development
544,272,84,2,test
145,254,23,5,test
221,283,34,3,test
616,146,92,2,buffer
596,141,82,2,buffer
508,148,72,3,buffer
135,440,26,4,development
82,538,18,5,development
16,172,2,3,buffer
555,376,85,4,buffer
219,584,38,6,development
40,426,6,4,development
386,484,57,4,development
618,109,91,2,development
379,259,53,5,test
351,548,58,4,development
277,54,40,3,development
23,228,3,3,test
343,326,54,1,test
519,371,75,5,buffer
498,574,78,4,development
118,263,13,2,test
520,401,75,5,buffer
372,233,53,3,test
361,350,55,4,buffer
529,370,75,4,buffer
510,100,71,1,development
43,594,8,5,development
482,8,70,2,development
606,204,93,6,test
566,334,84,4,test
437,171,62,1,buffer
102,217,13,1,test
211,553,38,6,development
49,368,5,4,buffer
588,27,80,2,development
472,553,78,5,development
236,132,31,3,development
605,206,93,6,test
45,279,4,1,test
134,86,21,3,development
384,326,54,4,test
219,196,32,3,buffer
529,218,73,2,test
106,413,16,5,development
265,553,38,3,development
527,85,71,2,development
460,170,62,1,buffer
322,167,42,1,buffer
528,218,73,2,test
462,317,64,3,test
390,354,55,1,buffer
599,3,80,2,development
597,265,83,3,test
164,445,26,5,development
647,446,96,3,development
456,381,65,4,buffer
452,519,67,4,development
157,425,26,5,development
70,290,14,1,test
343,247,53,3,test
216,585,38,6,development
515,95,71,2,development
256,395,35,2,buffer
617,149,92,2,buffer
462,513,67,4,development
648,366,95,3,buffer
390,51,50,1,development
590,325,84,4,test
464,359,65,3,buffer
122,189,12,3,buffer
608,3,90,2,development
463,456,66,4,development
303,245,43,1,test
522,92,71,2,development
30,560,8,5,development
83,420,16,5,development
46,382,5,3,buffer
310,174,42,1,buffer
15,41,0,2,development
162,168,22,1,buffer
488,598,78,4,development
517,231,73,5,test
326,461,46,5,development
255,515,37,4,development
334,501,47,4,development
557,66,80,2,development
160,250,23,5,test
490,135,72,2,buffer
409,266,63,5,test
31,74,1,3,development
301,599,48,4,development
584,507,87,1,development
638,15,90,2,development
585,391,85,4,buffer
105,156,12,1,buffer
281,391,45,1,buffer
4,494,7,4,development
106,264,13,2,test
570,90,81,2,development
106,438,16,3,development
583,493,87,1,development
554,22,80,3,development
13,146,2,3,buffer
588,76,81,4,development
86,524,17,1,development
614,119,91,2,development
569,53,80,2,development
455,213,63,1,test
397,561,58,4,development
237,297,34,2,test
149,369,25,5,buffer
53,305,4,3,test
621,500,97,3,development
156,450,26,5,development
199,230,23,2,test
173,131,21,1,development
454,230,63,4,test
218,215,33,3,test
534,484,77,1,development
543,332,84,4,test
114,191,12,3,buffer
279,590,48,4,development
146,386,25,5,buffer
428,399,65,5,buffer
234,82,31,3,development
245,464,36,2,development
622,92,91,2,development
328,494,47,4,development
64,384,5,3,buffer
342,97,51,3,development
553,61,80,2,development
546,85,81,2,development
92,503,17,3,development
340,457,56,5,development
333,117,41,3,development
509,450,76,4,development
127,410,16,5,development
590,418,86,4,development
216,557,38,5,development
92,212,13,2,test
250,60,30,3,development
15,449,6,1,development
285,39,40,3,development
395,33,50,1,development
213,411,36,2,development
357,111,51,3,development
10,558,8,5,development
184,285,24,5,test
474,164,72,1,buffer
473,42,70,1,development
514,138,72,2,buffer
317,415,46,4,development
635,551,98,1,development
76,362,15,4,buffer
3,540,8,5,development
600,63,80,2,development
591,103,81,2,development
351,409,56,5,development
601,579,88,1,development
100,525,17,1,development
487,400,75,5,buffer
600,153,82,2,buffer
624,340,95,4,buffer
210,75,31,1,development
221,255,33,2,test
139,554,28,5,development
95,405,16,2,development
588,283,84,1,test
250,2,30,1,development
180,108,21,3,development
157,491,27,1,development
339,169,52,1,buffer
199,457,26,1,development
322,380,45,4,buffer
35,316,4,3,test
519,103,71,2,development
122,5,10,2,development
550,38,80,2,development
310,556,48,5,development
493,23,70,2,development
605,567,98,1,development
346,508,57,5,development
55,206,3,3,test
34,553,8,5,development
210,115,31,3,development
336,434,56,5,development
150,442,26,5,development
610,76,91,2,development
196,343,25,5,buffer
650,384,95,5,buffer
2,219,3,3,test
124,545,18,5,development
524,36,70,3,development
231,155,32,3,buffer
251,540,38,5,development
615,205,93,1,test
585,5,80,2,development
401,540,58,4,development
76,469,17,5,development
347,440,56,5,development
260,424,36,1,development
459,309,64,3,test
112,609,19,4,development
355,0,50,1,development
228,609,39,4,development
103,192,12,3,buffer
54,332,4,4,test
621,353,95,4,buffer
241,191,32,1,buffer
239,289,34,2,test
352,227,53,3,test
526,130,71,1,development
650,404,96,3,development
519,477,77,4,development
221,426,36,1,development
221,602,38,6,development
179,423,26,5,development
564,182,82,1,buffer
379,344,55,4,buffer
165,246,23,5,test
265,390,35,1,buffer
374,419,56,4,development
257,410,36,1,development
2,125,1,3,development
652,73,91,2,development
331,472,47,4,development
580,551,88,1,development
113,478,17,2,development
286,457,46,5,development
36,542,8,5,development
241,574,38,1,development
528,90,71,2,development
619,512,97,1,development
139,588,28,5,development
353,286,54,3,test
462,451,66,4,development
67,524,17,5,development
161,238,23,5,test
553,122,81,2,development
27,111,1,3,development
389,298,54,5,test
150,448,26,5,development
593,268,84,1,test
404,232,63,4,test
210,119,31,3,development
629,162,92,2,buffer
172,310,24,5,test
452,524,67,4,development
332,349,45,5,buffer
419,75,61,1,development
283,569,48,5,development
276,90,41,3,development
246,62,30,1,development
560,212,83,2,test
127,455,16,5,development
151,251,23,5,test
469,327,74,1,test
133,286,14,5,test
617,576,98,3,development
222,152,32,3,buffer
414,250,63,3,test
278,78,41,3,development
120,265,13,2,test
285,513,47,4,development
317,416,46,4,development
612,123,91,2,development
530,65,70,3,development
311,264,43,3,test
13,67,1,3,development
637,334,94,2,test
626,342,95,4,buffer
5,18,0,3,development
258,200,32,1,buffer
196,276,24,3,test
117,476,17,5,development
340,221,53,4,test
216,244,33,2,test
168,3,20,3,development
570,287,84,4,test
55,528,7,5,development
511,101,71,1,development
604,102,91,5,development
307,611,49,4,development
371,196,52,4,buffer
649,284,94,3,test
117,159,12,1,buffer
548,506,87,1,development
614,305,94,2,test
560,333,84,4,test
627,156,92,2,buffer
610,234,93,6,test
76,335,15,2,buffer
53,395,5,3,buffer
157,355,25,5,buffer
495,423,76,5,development
276,577,48,5,development
206,228,33,2,test
310,142,42,1,buffer
597,83,81,2,development
228,122,31,1,development
331,33,40,1,development
604,105,91,2,development
359,560,58,4,development
209,571,38,6,development
263,54,30,4,development
33,88,1,3,development
111,74,11,3,development
87,398,15,2,buffer
435,564,68,4,development
88,235,13,1,test
46,104,1,3,development
353,399,55,5,buffer
128,19,10,2,development
74,280,14,1,test
575,268,84,4,test
53,41,0,3,development
429,132,61,1,development
117,261,13,2,test
18,248,3,3,test
610,146,92,2,buffer
14,394,5,3,buffer
23,606,9,4,development
279,120,41,1,development
580,103,81,2,development
618,160,92,2,buffer
357,480,57,4,development
308,585,48,4,development
558,108,81,2,development
21,312,4,2,test
546,608,89,5,development
424,426,66,4,development
217,72,31,1,development
558,438,86,4,development
579,126,81,2,development
229,343,35,3,buffer
580,140,82,2,buffer
160,163,22,2,buffer
192,473,27,1,development
189,75,21,3,development
147,416,26,5,development
491,598,78,4,development
556,40,80,2,development
244,230,33,3,test
452,609,69,5,development
319,154,42,1,buffer
627,132,91,2,development
387,40,50,1,development
348,542,58,4,development
235,417,36,1,development
526,67,71,2,development
618,139,92,2,buffer
40,590,8,4,development
470,422,76,4,development
381,328,54,4,test
200,437,26,2,development
49,262,3,1,test
31,238,3,3,test
386,169,52,1,buffer
395,333,54,4,test
27,550,8,5,development
498,161,72,4,buffer
321,346,45,1,buffer
120,437,16,5,development
555,50,80,2,development
495,55,70,3,development
522,314,74,5,test
34,342,5,2,buffer
514,93,71,2,development
64,205,3,3,test
502,416,76,4,development
426,512,67,4,development
212,547,38,6,development
431,216,63,1,test
203,256,33,3,test
618,153,92,2,buffer
169,498,27,6,development
293,311,44,4,test
225,447,36,2,development
161,162,22,2,buffer
91,406,16,2,development
203,201,33,2,test
327,407,46,5,development
25,153,2,3,buffer
160,183,22,3,buffer
92,79,11,3,development
11,537,8,5,development
204,313,34,4,test
221,359,35,3,buffer
105,273,14,2,test
545,244,83,4,test
146,498,27,3,development
315,603,49,4,development
211,399,35,5,buffer
413,371,65,4,buffer
281,275,44,3,test
62,498,7,5,development
263,546,38,3,development
578,7,80,2,development
193,401,25,2,buffer
631,123,91,2,development
501,116,71,1,development
18,6,0,3,development
40,570,8,4,development
552,41,80,2,development
16,316,4,1,test
99,395,15,5,buffer
13,594,8,4,development
41,595,8,5,development
235,461,36,2,development
149,417,26,5,development
410,214,63,5,test
14,376,5,3,buffer
602,94,81,2,development
348,446,56,5,development
573,183,82,1,buffer
285,270,44,3,test
181,468,26,3,development
119,240,13,2,test
578,428,86,3,development
113,210,13,1,test
550,244,83,4,test
426,457,66,5,development
392,590,58,4,development
595,0,80,2,development
625,174,92,2,buffer
536,218,83,2,test
320,159,42,1,buffer
531,46,70,2,development
608,234,93,6,test
152,253,23,5,test
555,286,84,4,test
320,388,45,4,buffer
298,202,43,3,test
593,100,81,4,development
123,323,14,5,test
137,219,23,1,test
253,304,34,1,test
208,576,38,6,development
579,47,80,2,development
161,296,24,4,test
224,272,34,2,test
415,345,65,1,buffer
87,477,17,2,development
513,571,78,4,development
618,211,93,1,test
399,324,54,4,test
20,181,2,3,buffer
214,608,39,3,development
520,126,71,1,development
364,173,52,3,buffer
160,288,24,2,test
140,542,28,5,development
58,553,8,4,development
106,181,12,3,buffer
111,86,11,3,development
106,73,11,3,development
555,208,83,1,test
616,143,92,2,buffer
162,267,23,5,test
53,441,6,3,development
104,200,12,6,buffer
282,440,46,4,development
83,339,15,5,buffer
452,179,62,1,buffer
