equation_number_as_compiled,label,manuscript_section,latex_first_line
1,eq:indices,Materials and methods / Spectral transformations and common-support convergence,\label{eq:indices}
2,eq:percentile,Materials and methods / Spectral transformations and common-support convergence,\label{eq:percentile}
3,eq:convergence,Materials and methods / Spectral transformations and common-support convergence,\label{eq:convergence}
4,eq:wetness,Materials and methods / Terrain representation and hierarchical decision rule,\label{eq:wetness}
5,eq:priority,Materials and methods / Terrain representation and hierarchical decision rule,\label{eq:priority}
6,eq:crossing,Materials and methods / Structural experiments and exact weight transitions,\label{eq:crossing}
7,eq:affine,Materials and methods / Deterministic reconstruction of the joint design,\label{eq:affine}
8,eq:central,Materials and methods / Deterministic reconstruction of the joint design,\label{eq:central}
9,eq:vardecomp,Materials and methods / Deterministic reconstruction of the joint design,\label{eq:vardecomp}
10,eq:coverage,Materials and methods / Deterministic reconstruction of the joint design,\label{eq:coverage}
